
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00112141
T[K]                          1025.936            1025.936
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.34269             0.34269
MW[kg/kmol]                   28.84930            28.84930
Phi[-]                        1000.00000          0.00063
H[J/kg]                       7.811069e+05        7.811068e+05
U[J/kg]                       4.854287e+05        4.854287e+05
Conv.(%) H2                   0.000000e+00        1.602618e-01
Conv.(%) CH4                  0.000000e+00        3.600610e-01
Total species (kmol/s)        2.899839e-04        2.899839e-04
Element(kmol/s) C             1.541052e-08        1.541052e-08
Element(kmol/s) H             9.246309e-08        9.246309e-08
Element(kmol/s) O             1.217835e-04        1.217835e-04
Element(kmol/s) N             4.581380e-04        4.581380e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.802804e-12        3.796710e-12
H                             2.814649e-13        3.574645e-13
O                             3.124882e-08        3.002811e-08
O2                            2.327540e-01        2.327540e-01
OH                            1.721863e-07        1.704118e-07
H2O                           9.946296e-05        9.946355e-05
HO2                           3.237218e-09        4.599729e-09
H2O2                          6.781119e-11        2.322376e-11
C                             1.682021e-38        3.798070e-38
CH                            1.035248e-33        1.919555e-33
CH2                           9.808059e-27        1.292457e-26
CH2(S)                        4.325069e-29        5.108738e-29
CH3                           3.092787e-25        2.623879e-25
CH4                           1.356056e-25        1.351173e-25
CO                            6.905131e-11        6.901433e-11
CO2                           8.106790e-05        8.106790e-05
HCO                           7.527275e-25        1.516857e-24
CH2O                          1.614920e-21        1.226180e-21
CH2OH                         1.490536e-31        1.377682e-31
CH3O                          2.781093e-29        4.476816e-29
CH3OH                         3.080481e-25        3.160010e-25
C2H                           3.640947e-28        3.695112e-28
C2H2                          5.913954e-20        5.950474e-20
C2H3                          2.485723e-31        3.401982e-31
C2H4                          1.387746e-30        4.168443e-30
C2H5                          3.481952e-40        1.497063e-39
C2H6                          8.177476e-42        8.391309e-42
HCCO                          1.451265e-25        1.320760e-25
CH2CO                         3.482880e-20        3.519899e-20
HCCOH                         6.403752e-16        6.403731e-16
N                             3.555046e-19        5.363539e-18
NH                            1.030545e-20        7.544307e-20
NH2                           1.794380e-19        1.780164e-19
NH3                           7.110940e-19        7.087064e-19
NNH                           4.444828e-18        5.841110e-18
NO                            5.295370e-08        5.294830e-08
NO2                           1.138794e-09        1.147167e-09
N2O                           3.459716e-08        3.744506e-08
HNO                           1.110821e-16        1.891303e-16
CN                            4.453129e-26        4.421367e-26
HCN                           1.370856e-17        1.371206e-17
H2CN                          9.179993e-29        7.221423e-29
HCNN                          2.116147e-35        5.452465e-35
HCNO                          1.945895e-13        1.945894e-13
HOCN                          2.723156e-15        2.723150e-15
HNCO                          7.279020e-17        7.284593e-17
NCO                           1.280347e-19        1.191166e-19
N2                            7.670652e-01        7.670652e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.962870e-56        1.050731e-55
C3H8                          4.880685e-57        4.893186e-57
CH2CHO                        3.604845e-29        3.568624e-29
CH3CHO                        7.631065e-33        8.038405e-33
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.441877e-11        5.433155e-11
H                             8.055619e-12        1.023075e-11
O                             5.634768e-08        5.414651e-08
O2                            2.098502e-01        2.098502e-01
OH                            2.920828e-07        2.890728e-07
H2O                           1.592804e-04        1.592813e-04
HO2                           2.829530e-09        4.020449e-09
H2O2                          5.751471e-11        1.969746e-11
C                             4.040057e-38        9.122610e-38
CH                            2.294045e-33        4.253614e-33
CH2                           2.017221e-26        2.658193e-26
CH2(S)                        8.895359e-29        1.050713e-28
CH3                           5.934468e-25        5.034723e-25
CH4                           2.438525e-25        2.429745e-25
CO                            7.112038e-11        7.108229e-11
CO2                           5.314259e-05        5.314259e-05
HCO                           7.483513e-25        1.508038e-24
CH2O                          1.551632e-21        1.178127e-21
CH2OH                         1.385607e-31        1.280697e-31
CH3O                          2.585312e-29        4.161661e-29
CH3OH                         2.773538e-25        2.845143e-25
C2H                           4.196515e-28        4.258945e-28
C2H2                          6.552478e-20        6.592941e-20
C2H3                          2.651460e-31        3.628810e-31
C2H4                          1.427087e-30        4.286613e-30
C2H5                          3.456468e-40        1.486106e-39
C2H6                          7.845508e-42        8.050661e-42
HCCO                          1.020448e-25        9.286845e-26
CH2CO                         2.390243e-20        2.415648e-20
HCCOH                         4.394789e-16        4.394774e-16
N                             7.322094e-19        1.104693e-17
NH                            1.980053e-20        1.449537e-19
NH2                           3.230768e-19        3.205172e-19
NH3                           1.204542e-18        1.200498e-18
NNH                           4.418378e-18        5.806351e-18
NO                            5.091238e-08        5.090719e-08
NO2                           7.141268e-10        7.193774e-10
N2O                           2.267748e-08        2.454420e-08
HNO                           1.033288e-16        1.759294e-16
CN                            4.937721e-26        4.902503e-26
HCN                           1.463340e-17        1.463714e-17
H2CN                          9.446970e-29        7.431440e-29
HCNN                          1.487811e-35        3.833495e-35
HCNO                          1.304769e-13        1.304769e-13
HOCN                          1.825941e-15        1.825938e-15
HNCO                          4.880758e-17        4.884495e-17
NCO                           8.790993e-20        8.178669e-20
N2                            7.899369e-01        7.899369e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.653253e-56        7.034938e-56
C3H8                          3.193059e-57        3.201238e-57
CH2CHO                        2.416013e-29        2.391737e-29
CH3CHO                        4.997409e-33        5.264167e-33
-----------------------------------------------------------------------------
