
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00516842
T[K]                          1322.110            1322.110
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.25091             0.25154
MW[kg/kmol]                   27.22098            27.28975
Phi[-]                        1000.00000          0.79896
H[J/kg]                       -1.008265e+06       -1.199090e+06
U[J/kg]                       -1.412094e+06       -1.601902e+06
Conv.(%) H2                   0.000000e+00        9.252475e+01
Conv.(%) CH4                  0.000000e+00        9.818922e+01
Total species (kmol/s)        3.165811e-04        3.157833e-04
Element(kmol/s) C             1.923826e-05        1.923826e-05
Element(kmol/s) H             1.154295e-04        1.154295e-04
Element(kmol/s) O             1.203958e-04        1.203958e-04
Element(kmol/s) N             4.529174e-04        4.529174e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.968352e-04        2.966440e-05
H                             1.246772e-06        1.074864e-06
O                             2.540847e-05        2.934342e-05
O2                            6.033514e-02        4.587467e-02
OH                            1.767972e-04        2.237065e-04
H2O                           1.104565e-01        1.201202e-01
HO2                           1.675093e-05        1.384310e-05
H2O2                          2.882956e-06        6.993093e-07
C                             9.579315e-13        2.367195e-13
CH                            1.286420e-10        9.819693e-11
CH2                           2.776129e-08        5.624985e-08
CH2(S)                        1.076693e-09        2.047323e-09
CH3                           5.458156e-06        4.445534e-06
CH4                           2.818676e-03        5.104012e-05
CO                            1.258862e-03        1.067649e-03
CO2                           8.814232e-02        9.639287e-02
HCO                           4.018415e-08        5.738807e-08
CH2O                          8.693771e-05        7.401516e-06
CH2OH                         1.027181e-08        1.581845e-08
CH3O                          1.260764e-07        1.480275e-08
CH3OH                         2.629792e-05        3.639605e-06
C2H                           1.344926e-11        1.295697e-11
C2H2                          1.919169e-07        2.420069e-07
C2H3                          4.568846e-09        4.738221e-09
C2H4                          2.071957e-05        1.080247e-06
C2H5                          9.780247e-08        1.892546e-08
C2H6                          4.830161e-05        3.001462e-07
HCCO                          1.248864e-08        1.115767e-08
CH2CO                         2.203085e-06        6.792831e-07
HCCOH                         2.681811e-09        7.347252e-09
N                             3.848876e-11        1.798476e-11
NH                            2.361207e-10        1.837479e-10
NH2                           8.210932e-10        1.455356e-09
NH3                           3.448839e-09        7.415539e-09
NNH                           3.336868e-11        2.775787e-11
NO                            1.773449e-05        1.789401e-05
NO2                           3.449575e-07        2.335338e-07
N2O                           6.054257e-06        5.294472e-06
HNO                           1.751544e-09        3.033353e-09
CN                            2.563339e-13        2.816084e-12
HCN                           3.262697e-08        5.933909e-08
H2CN                          1.915753e-13        1.565343e-13
HCNN                          6.623033e-12        5.218311e-12
HCNO                          1.505469e-08        4.645345e-08
HOCN                          7.933204e-10        7.707677e-10
HNCO                          1.406457e-07        3.500941e-07
NCO                           1.922541e-09        4.228474e-09
N2                            7.361529e-01        7.361533e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.832701e-10        1.615148e-11
C3H8                          5.723290e-07        3.089263e-09
CH2CHO                        8.301591e-09        2.079716e-09
CH3CHO                        2.964766e-07        5.816892e-08
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.358255e-03        4.015546e-04
H                             3.366900e-05        2.909998e-05
O                             4.323042e-05        5.005155e-05
O2                            5.132764e-02        3.912458e-02
OH                            2.829771e-04        3.589637e-04
H2O                           1.669017e-01        1.819623e-01
HO2                           1.381496e-05        1.144564e-05
H2O2                          2.307194e-06        5.610625e-07
C                             2.170996e-12        5.378416e-13
CH                            2.689731e-10        2.058353e-10
CH2                           5.387392e-08        1.094350e-07
CH2(S)                        2.089446e-09        3.983100e-09
CH3                           9.882033e-06        8.069007e-06
CH4                           4.782592e-03        8.682118e-05
CO                            1.223401e-03        1.040196e-03
CO2                           5.451886e-02        5.977272e-02
HCO                           3.769564e-08        5.397017e-08
CH2O                          7.881603e-05        6.727021e-06
CH2OH                         9.009753e-09        1.390996e-08
CH3O                          1.105859e-07        1.301680e-08
CH3OH                         2.234116e-05        3.099804e-06
C2H                           1.462653e-11        1.412674e-11
C2H2                          2.006363e-07        2.536411e-07
C2H3                          4.598406e-09        4.780925e-09
C2H4                          2.010434e-05        1.050819e-06
C2H5                          9.160689e-08        1.777136e-08
C2H6                          4.372522e-05        2.723950e-07
HCCO                          8.285674e-09        7.421340e-09
CH2CO                         1.426604e-06        4.409798e-07
HCCOH                         1.736602e-09        4.769719e-09
N                             7.479845e-11        3.503959e-11
NH                            4.280677e-10        3.339617e-10
NH2                           1.394930e-09        2.478706e-09
NH3                           5.512347e-09        1.188234e-08
NNH                           3.129792e-11        2.610108e-11
NO                            1.608846e-05        1.627418e-05
NO2                           2.041100e-07        1.385302e-07
N2O                           3.744412e-06        3.282776e-06
HNO                           1.537330e-09        2.669100e-09
CN                            2.681859e-13        2.953733e-12
HCN                           3.286237e-08        5.991819e-08
H2CN                          1.860194e-13        1.523787e-13
HCNN                          4.393670e-12        3.470534e-12
HCNO                          9.524773e-09        2.946434e-08
HOCN                          5.019166e-10        4.888800e-10
HNCO                          8.898348e-08        2.220565e-07
NCO                           1.245531e-09        2.746365e-09
N2                            7.153140e-01        7.171215e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.421265e-10        1.022929e-11
C3H8                          3.532974e-07        1.911813e-09
CH2CHO                        5.249796e-09        1.318502e-09
CH3CHO                        1.831972e-07        3.603422e-08
-----------------------------------------------------------------------------
