
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0439383
T[K]                          1251.751            1251.751
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.28084             0.28084
MW[kg/kmol]                   28.84679            28.84679
Phi[-]                        1000.00000          0.00181
H[J/kg]                       1.042428e+06        1.042427e+06
U[J/kg]                       6.816382e+05        6.816369e+05
Conv.(%) H2                   0.000000e+00        1.426830e+01
Conv.(%) CH4                  0.000000e+00        5.117057e+00
Total species (kmol/s)        1.315889e-04        1.315889e-04
Element(kmol/s) C             2.004644e-08        2.004644e-08
Element(kmol/s) H             1.202786e-07        1.202786e-07
Element(kmol/s) O             5.525467e-05        5.525467e-05
Element(kmol/s) N             2.078628e-04        2.078628e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.636712e-11        1.403181e-11
H                             1.327230e-12        1.133235e-12
O                             1.101506e-07        9.321220e-08
O2                            2.324640e-01        2.324641e-01
OH                            6.572267e-07        5.438153e-07
H2O                           2.850647e-04        2.851244e-04
HO2                           6.083753e-09        7.584700e-09
H2O2                          3.374923e-11        4.976688e-11
C                             7.635844e-36        2.888349e-36
CH                            1.984727e-31        9.003824e-32
CH2                           3.280540e-25        2.219540e-25
CH2(S)                        2.854951e-27        1.682242e-27
CH3                           1.685724e-24        1.595587e-24
CH4                           5.078452e-25        4.818584e-25
CO                            2.959340e-10        2.737628e-10
CO2                           2.324135e-04        2.324135e-04
HCO                           2.859447e-23        2.080101e-23
CH2O                          7.364915e-21        6.402248e-21
CH2OH                         4.167971e-30        3.154830e-30
CH3O                          4.068294e-28        3.130619e-28
CH3OH                         1.298669e-24        1.376072e-24
C2H                           2.178183e-26        1.301789e-26
C2H2                          2.232175e-19        2.163132e-19
C2H3                          3.522611e-30        3.313980e-30
C2H4                          4.650790e-30        4.168968e-30
C2H5                          1.857795e-39        1.928144e-39
C2H6                          3.803493e-41        3.919544e-41
HCCO                          2.860553e-24        2.272858e-24
CH2CO                         1.598373e-19        1.673963e-19
HCCOH                         1.815189e-15        1.814543e-15
N                             8.377190e-18        2.659681e-18
NH                            5.542184e-19        3.255399e-19
NH2                           4.786936e-19        4.506991e-19
NH3                           1.617815e-18        1.593159e-18
NNH                           3.459801e-17        2.704677e-17
NO                            1.576730e-07        1.573824e-07
NO2                           2.886610e-09        3.379788e-09
N2O                           1.158068e-07        1.168587e-07
HNO                           5.854239e-16        7.226544e-16
CN                            1.532065e-24        1.038654e-24
HCN                           4.321936e-17        4.319927e-17
H2CN                          9.621114e-29        1.216583e-28
HCNN                          1.990778e-33        1.051730e-33
HCNO                          5.568450e-13        5.568019e-13
HOCN                          7.738253e-15        7.736217e-15
HNCO                          2.817076e-16        2.801015e-16
NCO                           6.410284e-19        6.221177e-19
N2                            7.670175e-01        7.670175e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          5.839881e-56        1.696059e-55
C3H8                          2.741593e-57        5.036964e-57
CH2CHO                        4.125586e-29        6.011704e-29
CH3CHO                        4.568238e-32        5.705476e-32
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.341958e-10        2.007800e-10
H                             3.798245e-11        3.243074e-11
O                             1.986057e-07        1.680651e-07
O2                            2.095706e-01        2.095707e-01
OH                            1.114769e-06        9.224040e-07
H2O                           4.564641e-04        4.565597e-04
HO2                           5.317116e-09        6.628924e-09
H2O2                          2.862224e-11        4.220658e-11
C                             1.833899e-35        6.936941e-36
CH                            4.397649e-31        1.995018e-31
CH2                           6.746491e-25        4.564526e-25
CH2(S)                        5.871260e-27        3.459562e-27
CH3                           3.234301e-24        3.061361e-24
CH4                           9.131523e-25        8.664258e-25
CO                            3.047749e-10        2.819414e-10
CO2                           1.523412e-04        1.523412e-04
HCO                           2.842576e-23        2.067828e-23
CH2O                          7.075673e-21        6.150813e-21
CH2OH                         3.874221e-30        2.932484e-30
CH3O                          3.781569e-28        2.909979e-28
CH3OH                         1.169166e-24        1.238851e-24
C2H                           2.510331e-26        1.500297e-26
C2H2                          2.472966e-19        2.396475e-19
C2H3                          3.757155e-30        3.534634e-30
C2H4                          4.782218e-30        4.286781e-30
C2H5                          1.844037e-39        1.913866e-39
C2H6                          3.648771e-41        3.760102e-41
HCCO                          2.011206e-24        1.598008e-24
CH2CO                         1.096841e-19        1.148713e-19
HCCOH                         1.245626e-15        1.245183e-15
N                             1.725245e-17        5.477494e-18
NH                            1.064763e-18        6.254267e-19
NH2                           8.618095e-19        8.114099e-19
NH3                           2.740225e-18        2.698464e-18
NNH                           3.438914e-17        2.688348e-17
NO                            1.515817e-07        1.513023e-07
NO2                           1.810008e-09        2.119249e-09
N2O                           7.590157e-08        7.659096e-08
HNO                           5.445153e-16        6.721564e-16
CN                            1.698638e-24        1.151581e-24
HCN                           4.613112e-17        4.610968e-17
H2CN                          9.900059e-29        1.251856e-28
HCNN                          1.399546e-33        7.393815e-34
HCNO                          3.733455e-13        3.733166e-13
HOCN                          5.188234e-15        5.186869e-15
HNCO                          1.888753e-16        1.877984e-16
NCO                           4.400983e-19        4.271152e-19
N2                            7.898191e-01        7.898191e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.909624e-56        1.135461e-55
C3H8                          1.793459e-57        3.295014e-57
CH2CHO                        2.764779e-29        4.028769e-29
CH3CHO                        2.991374e-32        3.736061e-32
-----------------------------------------------------------------------------
