
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00109327
T[K]                          1012.606            1012.606
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.32249             0.32227
MW[kg/kmol]                   26.79591            26.77793
Phi[-]                        1000.00000          0.79863
H[J/kg]                       -2.079076e+05       -2.684474e+05
U[J/kg]                       -5.221075e+05       -5.828584e+05
Conv.(%) H2                   0.000000e+00        2.154068e+00
Conv.(%) CH4                  0.000000e+00        9.558020e+00
Total species (kmol/s)        3.342409e-04        3.344655e-04
Element(kmol/s) C             1.998640e-05        1.998640e-05
Element(kmol/s) H             1.199184e-04        1.199184e-04
Element(kmol/s) O             1.251289e-04        1.251289e-04
Element(kmol/s) N             4.707232e-04        4.707232e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.748608e-03        2.689401e-03
H                             3.983982e-07        3.450128e-07
O                             4.636509e-06        1.343284e-06
O2                            1.529194e-01        1.475015e-01
OH                            2.930262e-05        2.760638e-06
H2O                           4.824508e-02        5.252206e-02
HO2                           7.500007e-05        9.665989e-05
H2O2                          1.707177e-05        2.249821e-05
C                             2.909497e-14        8.807419e-17
CH                            1.221090e-11        3.359565e-13
CH2                           8.336044e-09        2.415167e-09
CH2(S)                        3.868456e-10        1.880252e-10
CH3                           3.074540e-05        3.253050e-05
CH4                           2.061513e-02        1.864473e-02
CO                            1.895545e-03        4.398424e-03
CO2                           3.592932e-02        3.607147e-02
HCO                           5.737283e-08        7.674570e-08
CH2O                          6.180192e-04        6.885866e-04
CH2OH                         7.173435e-09        9.916688e-09
CH3O                          8.666895e-07        1.061860e-06
CH3OH                         1.814670e-04        2.635774e-04
C2H                           1.615188e-12        1.115843e-13
C2H2                          3.476677e-07        1.040964e-06
C2H3                          1.904862e-09        4.237609e-09
C2H4                          1.412669e-04        3.169953e-04
C2H5                          6.267964e-07        1.229201e-06
C2H6                          3.470751e-04        5.130687e-04
HCCO                          2.074516e-09        2.904975e-09
CH2CO                         1.196646e-05        3.508685e-05
HCCOH                         9.987038e-10        5.066494e-10
N                             2.242652e-12        2.707152e-14
NH                            3.153554e-11        3.986940e-12
NH2                           1.930504e-10        6.070526e-11
NH3                           2.189396e-09        5.719801e-09
NNH                           7.171022e-12        4.930946e-12
NO                            6.641773e-06        6.199833e-06
NO2                           1.327629e-06        1.929448e-06
N2O                           9.038986e-07        1.196093e-06
HNO                           7.348048e-10        6.517165e-10
CN                            3.457519e-13        6.374135e-19
HCN                           9.468653e-09        1.176358e-08
H2CN                          1.498293e-13        2.091662e-13
HCNN                          6.487859e-13        2.174238e-14
HCNO                          8.267909e-09        7.383913e-09
HOCN                          1.831031e-10        6.656380e-11
HNCO                          8.621953e-08        1.472064e-07
NCO                           5.227545e-10        1.995258e-11
N2                            7.361733e-01        7.361731e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.490898e-09        6.216297e-09
C3H8                          4.008097e-06        8.619277e-06
CH2CHO                        4.528547e-08        1.231165e-07
CH3CHO                        1.762635e-06        4.242612e-06
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.653347e-02        3.572252e-02
H                             1.059072e-05        9.165403e-06
O                             7.765454e-06        2.248289e-06
O2                            1.280585e-01        1.234385e-01
OH                            4.616867e-05        4.346691e-06
H2O                           7.176081e-02        7.807005e-02
HO2                           6.088879e-05        7.842064e-05
H2O2                          1.344899e-05        1.771199e-05
C                             6.490936e-14        1.963570e-16
CH                            2.513266e-11        6.910068e-13
CH2                           1.592443e-08        4.610620e-09
CH2(S)                        7.389950e-10        3.589453e-10
CH3                           5.479556e-05        5.793810e-05
CH4                           3.443254e-02        3.112056e-02
CO                            1.813383e-03        4.204951e-03
CO2                           2.187641e-02        2.194822e-02
HCO                           5.297945e-08        7.082124e-08
CH2O                          5.515350e-04        6.140985e-04
CH2OH                         6.193812e-09        8.556691e-09
CH3O                          7.483321e-07        9.162340e-07
CH3OH                         1.517563e-04        2.202751e-04
C2H                           1.729143e-12        1.193766e-13
C2H2                          3.577877e-07        1.070546e-06
C2H3                          1.887248e-09        4.195607e-09
C2H4                          1.349318e-04        3.025764e-04
C2H5                          5.779225e-07        1.132594e-06
C2H6                          3.092848e-04        4.568978e-04
HCCO                          1.354860e-09        1.895956e-09
CH2CO                         7.627860e-06        2.235062e-05
HCCOH                         6.366102e-10        3.227400e-10
N                             4.290277e-12        5.175406e-14
NH                            5.627862e-11        7.110355e-12
NH2                           3.228460e-10        1.014517e-10
NH3                           3.444710e-09        8.993272e-09
NNH                           6.620981e-12        4.549670e-12
NO                            5.931227e-06        5.532849e-06
NO2                           7.732864e-07        1.123066e-06
N2O                           5.503099e-07        7.277143e-07
HNO                           6.348671e-10        5.627013e-10
CN                            3.560895e-13        6.560309e-19
HCN                           9.388042e-09        1.165560e-08
H2CN                          1.432122e-13        1.997944e-13
HCNN                          4.236788e-13        1.418897e-14
HCNO                          5.149243e-09        4.595604e-09
HOCN                          1.140364e-10        4.142802e-11
HNCO                          5.369741e-08        9.161838e-08
NCO                           3.333814e-10        1.271602e-11
N2                            7.041635e-01        7.036906e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.549024e-09        3.863157e-09
C3H8                          2.435554e-06        5.234061e-06
CH2CHO                        2.819063e-08        7.658976e-08
CH3CHO                        1.072150e-06        2.578902e-06
-----------------------------------------------------------------------------
