
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.000823039
T[K]                          1053.752            1053.752
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.30969             0.30920
MW[kg/kmol]                   26.77791            26.73617
Phi[-]                        1000.00000          0.79864
H[J/kg]                       -2.136639e+05       -3.907959e+05
U[J/kg]                       -5.408508e+05       -7.184935e+05
Conv.(%) H2                   0.000000e+00        8.643749e+00
Conv.(%) CH4                  0.000000e+00        2.736250e+01
Total species (kmol/s)        3.141504e-04        3.146408e-04
Element(kmol/s) C             1.877266e-05        1.877266e-05
Element(kmol/s) H             1.126360e-04        1.126360e-04
Element(kmol/s) O             1.175286e-04        1.175286e-04
Element(kmol/s) N             4.421314e-04        4.421314e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.689407e-03        2.456942e-03
H                             3.450060e-07        1.352832e-06
O                             1.343242e-06        5.906315e-06
O2                            1.474995e-01        1.321176e-01
OH                            2.760548e-06        1.303279e-05
H2O                           5.252326e-02        6.495023e-02
HO2                           9.665779e-05        6.105064e-05
H2O2                          2.249741e-05        2.082016e-05
C                             8.807013e-17        2.572202e-14
CH                            3.359423e-13        2.266271e-11
CH2                           2.415096e-09        3.707740e-08
CH2(S)                        1.880167e-10        2.475920e-09
CH3                           3.253022e-05        9.437041e-05
CH4                           1.864484e-02        1.354314e-02
CO                            4.398282e-03        1.111181e-02
CO2                           3.607265e-02        3.724680e-02
HCO                           7.674309e-08        4.359313e-08
CH2O                          6.885731e-04        7.194135e-06
CH2OH                         9.916438e-09        4.396032e-08
CH3O                          1.061824e-06        1.081795e-06
CH3OH                         2.635735e-04        2.073815e-04
C2H                           1.115771e-13        7.740104e-12
C2H2                          1.040927e-06        7.746804e-06
C2H3                          4.237441e-09        7.923056e-08
C2H4                          3.169876e-04        8.247122e-04
C2H5                          1.229175e-06        6.519538e-06
C2H6                          5.130667e-04        8.907236e-04
HCCO                          2.904812e-09        8.197780e-08
CH2CO                         3.508539e-05        1.848832e-04
HCCOH                         5.066399e-10        3.828414e-09
N                             2.707034e-14        3.175277e-13
NH                            3.986695e-12        3.719224e-13
NH2                           6.070035e-11        4.826049e-10
NH3                           5.719519e-09        3.487743e-08
NNH                           4.930847e-12        2.473693e-11
NO                            6.199349e-06        7.021539e-06
NO2                           1.929293e-06        3.987917e-07
N2O                           1.196029e-06        1.582395e-05
HNO                           6.516594e-10        9.840795e-10
CN                            6.374059e-19        1.081200e-19
HCN                           1.176361e-08        3.471456e-08
H2CN                          2.091512e-13        8.927905e-13
HCNN                          2.174187e-14        1.558776e-12
HCNO                          7.383378e-09        2.653858e-08
HOCN                          6.656263e-11        3.307555e-11
HNCO                          1.471969e-07        3.936673e-07
NCO                           1.995095e-11        1.093335e-10
N2                            7.361727e-01        7.361633e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          6.216018e-09        7.469383e-08
C3H8                          8.619121e-06        3.186553e-05
CH2CHO                        1.231096e-07        7.492527e-07
CH3CHO                        4.242447e-06        2.662042e-05
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.572257e-02        3.258394e-02
H                             9.165218e-06        3.588249e-05
O                             2.248217e-06        9.870133e-06
O2                            1.234367e-01        1.103919e-01
OH                            4.346546e-06        2.048844e-05
H2O                           7.807179e-02        9.639304e-02
HO2                           7.841889e-05        4.945345e-05
H2O2                          1.771134e-05        1.636536e-05
C                             1.963479e-16        5.725655e-14
CH                            6.909773e-13        4.654076e-11
CH2                           4.610482e-09        7.067141e-08
CH2(S)                        3.589288e-10        4.719230e-09
CH3                           5.793756e-05        1.678153e-04
CH4                           3.112073e-02        2.257008e-02
CO                            4.204813e-03        1.060647e-02
CO2                           2.194893e-02        2.262803e-02
HCO                           7.081879e-08        4.016519e-08
CH2O                          6.140861e-04        6.405903e-06
CH2OH                         8.556470e-09        3.787236e-08
CH3O                          9.162027e-07        9.319797e-07
CH3OH                         2.202717e-04        1.730413e-04
C2H                           1.193688e-13        8.267709e-12
C2H2                          1.070506e-06        7.954524e-06
C2H3                          4.195438e-09        7.832293e-08
C2H4                          3.025688e-04        7.859716e-04
C2H5                          1.132570e-06        5.997781e-06
C2H6                          4.568958e-04        7.919701e-04
HCCO                          1.895850e-09        5.342009e-08
CH2CO                         2.234968e-05        1.175885e-04
HCCOH                         3.227337e-10        2.434930e-09
N                             5.175178e-14        6.060881e-13
NH                            7.109915e-12        6.622566e-13
NH2                           1.014435e-10        8.052805e-10
NH3                           8.992824e-09        5.475245e-08
NNH                           4.549575e-12        2.278860e-11
NO                            5.532414e-06        6.256385e-06
NO2                           1.122974e-06        2.317610e-07
N2O                           7.276747e-07        9.612429e-06
HNO                           5.626517e-10        8.483433e-10
CN                            6.560227e-19        1.111044e-19
HCN                           1.165562e-08        3.434228e-08
H2CN                          1.997800e-13        8.514590e-13
HCNN                          1.418862e-14        1.015663e-12
HCNO                          4.595269e-09        1.649134e-08
HOCN                          4.142727e-11        2.055348e-11
HNCO                          9.161243e-08        2.446289e-07
NCO                           1.271497e-11        6.957089e-11
N2                            7.036898e-01        7.025841e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.862980e-09        4.634657e-08
C3H8                          5.233963e-06        1.932019e-05
CH2CHO                        7.658537e-08        4.653770e-07
CH3CHO                        2.578800e-06        1.615618e-05
-----------------------------------------------------------------------------
