
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00522522
T[K]                          356.614             356.614
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.61808             0.61808
MW[kg/kmol]                   18.08668            18.08668
Phi[-]                        1000.00000          7.07433
H[J/kg]                       -1.020079e+06       -1.020079e+06
U[J/kg]                       -1.184015e+06       -1.184015e+06
Conv.(%) H2                   0.000000e+00        1.049110e-06
Conv.(%) CH4                  0.000000e+00        6.495661e-07
Total species (kmol/s)        5.953680e-05        5.953680e-05
Element(kmol/s) C             1.616629e-05        1.616629e-05
Element(kmol/s) H             9.699773e-05        9.699773e-05
Element(kmol/s) O             1.142602e-05        1.142602e-05
Element(kmol/s) N             4.298359e-05        4.298359e-05
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.026379e-02        3.026379e-02
H                             3.403187e-12        1.582662e-14
O                             9.692409e-12        1.681680e-12
O2                            1.696700e-01        1.696700e-01
OH                            4.755570e-12        2.449678e-12
H2O                           6.372233e-05        6.372573e-05
HO2                           4.327935e-07        3.950191e-07
H2O2                          1.966200e-07        2.170292e-07
C                             2.469540e-26        5.605144e-32
CH                            5.491387e-23        1.136717e-29
CH2                           9.096109e-18        8.337062e-20
CH2(S)                        8.992760e-20        3.827363e-21
CH3                           2.636670e-09        1.654741e-09
CH4                           2.408323e-01        2.408323e-01
CO                            3.349702e-06        3.349706e-06
CO2                           4.572622e-05        4.572622e-05
HCO                           2.860285e-15        2.927859e-17
CH2O                          1.196677e-06        1.199300e-06
CH2OH                         1.322183e-16        1.146991e-18
CH3O                          2.642464e-12        1.019575e-10
CH3OH                         3.531427e-07        3.553896e-07
C2H                           5.881435e-23        1.167497e-28
C2H2                          6.033447e-10        6.033447e-10
C2H3                          1.496972e-17        2.017739e-20
C2H4                          2.689662e-07        2.689665e-07
C2H5                          2.369751e-13        5.287202e-15
C2H6                          6.586342e-07        6.586644e-07
HCCO                          1.685542e-17        2.810337e-19
CH2CO                         2.255185e-08        2.255178e-08
HCCOH                         1.832645e-13        1.832644e-13
N                             6.251592e-21        9.277352e-22
NH                            1.592294e-16        1.244985e-18
NH2                           6.314318e-17        1.704149e-17
NH3                           2.462984e-12        2.463033e-12
NNH                           2.480999e-17        2.123787e-22
NO                            5.975630e-09        5.148928e-09
NO2                           6.233365e-09        7.500859e-09
N2O                           4.817816e-10        4.817816e-10
HNO                           2.366428e-15        2.456288e-15
CN                            1.203681e-25        1.114603e-30
HCN                           4.142614e-12        4.142614e-12
H2CN                          1.104606e-19        3.347787e-19
HCNN                          2.510395e-23        1.358120e-28
HCNO                          4.865082e-12        4.865081e-12
HOCN                          1.678376e-13        1.678376e-13
HNCO                          8.203753e-11        8.203754e-11
NCO                           1.083827e-17        4.156177e-18
N2                            5.591180e-01        5.591180e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.415413e-15        2.556180e-15
C3H8                          7.604210e-09        7.604209e-09
CH2CHO                        3.518473e-14        1.936879e-16
CH3CHO                        3.329768e-09        3.329754e-09
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.715136e-01        2.715136e-01
H                             6.106383e-11        2.839791e-13
O                             1.095715e-11        1.901120e-12
O2                            9.590493e-02        9.590494e-02
OH                            5.057474e-12        2.605194e-12
H2O                           6.397587e-05        6.397929e-05
HO2                           2.371629e-07        2.164632e-07
H2O2                          1.045511e-07        1.154036e-07
C                             3.718739e-26        8.440467e-32
CH                            7.628923e-23        1.579187e-29
CH2                           1.172870e-17        1.074996e-19
CH2(S)                        1.159543e-19        4.935074e-21
CH3                           3.171839e-09        1.990606e-09
CH4                           2.715113e-01        2.715113e-01
CO                            2.162977e-06        2.162980e-06
CO2                           1.879242e-05        1.879242e-05
HCO                           1.782792e-15        1.824910e-17
CH2O                          7.208390e-07        7.224189e-07
CH2OH                         7.705709e-17        6.684686e-19
CH3O                          1.540034e-12        5.942103e-11
CH3OH                         1.993377e-07        2.006060e-07
C2H                           4.249925e-23        8.436334e-29
C2H2                          4.190991e-10        4.190990e-10
C2H3                          1.001082e-17        1.349338e-20
C2H4                          1.734051e-07        1.734052e-07
C2H5                          1.474810e-13        3.290480e-15
C2H6                          3.961591e-07        3.961773e-07
HCCO                          7.430321e-18        1.238871e-19
CH2CO                         9.703073e-09        9.703041e-09
HCCOH                         7.885068e-14        7.885064e-14
N                             8.072430e-21        1.197947e-21
NH                            1.918036e-16        1.499676e-18
NH2                           7.127569e-17        1.923634e-17
NH3                           2.615654e-12        2.615706e-12
NNH                           1.546173e-17        1.323556e-22
NO                            3.601923e-09        3.103613e-09
NO2                           2.450622e-09        2.948932e-09
N2O                           1.979831e-10        1.979831e-10
HNO                           1.380048e-15        1.432453e-15
CN                            8.367513e-26        7.748279e-31
HCN                           2.772372e-12        2.772372e-12
H2CN                          7.126582e-20        2.159889e-19
HCNN                          1.106541e-23        5.986373e-29
HCNO                          2.045164e-12        2.045164e-12
HOCN                          7.055490e-14        7.055490e-14
HNCO                          3.448661e-11        3.448662e-11
NCO                           4.665452e-18        1.789072e-18
N2                            3.609834e-01        3.609834e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.013874e-15        1.072961e-15
C3H8                          3.118918e-09        3.118917e-09
CH2CHO                        1.478394e-14        8.138394e-17
CH3CHO                        1.367090e-09        1.367085e-09
-----------------------------------------------------------------------------
