
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.442359
T[K]                          1272.049            1272.049
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.26166             0.26166
MW[kg/kmol]                   27.31210            27.31246
Phi[-]                        1000.00000          0.79919
H[J/kg]                       -1.288148e+06       -1.288995e+06
U[J/kg]                       -1.675390e+06       -1.676233e+06
Conv.(%) H2                   0.000000e+00        9.622077e+01
Conv.(%) CH4                  0.000000e+00        9.946566e+01
Total species (kmol/s)        5.055828e-03        5.055762e-03
Element(kmol/s) C             3.083490e-04        3.083490e-04
Element(kmol/s) H             1.850094e-03        1.850094e-03
Element(kmol/s) O             1.929145e-03        1.929145e-03
Element(kmol/s) N             7.257260e-03        7.257260e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.577070e-06        5.960112e-08
H                             3.452213e-10        2.504582e-10
O                             2.076057e-07        1.388066e-07
O2                            4.492388e-02        4.486721e-02
OH                            2.228728e-05        1.592322e-05
H2O                           1.206313e-01        1.206751e-01
HO2                           8.031224e-08        9.048616e-08
H2O2                          1.031730e-08        1.085065e-08
C                             2.259517e-23        8.476229e-23
CH                            1.051368e-17        1.449282e-16
CH2                           1.835665e-13        4.243480e-12
CH2(S)                        6.606478e-15        1.384474e-13
CH3                           1.553610e-10        4.195747e-09
CH4                           1.201209e-05        6.418522e-08
CO                            9.904484e-07        9.944433e-07
CO2                           9.823901e-02        9.827175e-02
HCO                           1.450336e-13        2.884681e-12
CH2O                          9.923089e-10        5.484579e-09
CH2OH                         4.673216e-14        1.066993e-12
CH3O                          4.385515e-13        1.294215e-12
CH3OH                         3.771469e-10        5.173309e-09
C2H                           9.157503e-17        4.288320e-17
C2H2                          1.600906e-11        1.398466e-11
C2H3                          8.748042e-16        2.419679e-15
C2H4                          1.837700e-10        8.080616e-12
C2H5                          2.848073e-13        1.120979e-14
C2H6                          4.492076e-10        1.780416e-12
HCCO                          3.232511e-15        4.808509e-15
CH2CO                         1.664836e-11        4.389613e-12
HCCOH                         4.266436e-10        2.749182e-10
N                             1.540789e-15        9.424274e-16
NH                            4.085952e-14        3.758269e-14
NH2                           6.964893e-12        7.518198e-12
NH3                           3.659346e-10        4.597941e-10
NNH                           9.130665e-15        5.955966e-15
NO                            2.175059e-05        2.167765e-05
NO2                           1.643416e-07        2.726298e-07
N2O                           1.624679e-07        1.866772e-07
HNO                           6.870920e-12        7.990598e-12
CN                            1.071230e-15        1.194243e-15
HCN                           1.914553e-10        3.687345e-10
H2CN                          2.367112e-18        6.239960e-17
HCNN                          5.084909e-19        1.036575e-17
HCNO                          9.888235e-09        1.074969e-08
HOCN                          9.386516e-10        1.045833e-09
HNCO                          2.157072e-09        2.924828e-09
NCO                           3.335404e-12        3.667522e-12
N2                            7.361465e-01        7.361465e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.135453e-15        1.813994e-18
C3H8                          5.186648e-12        5.100861e-15
CH2CHO                        2.062229e-14        1.140649e-15
CH3CHO                        2.274933e-12        5.639801e-15
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.136563e-05        8.074668e-07
H                             9.353890e-09        6.786339e-09
O                             3.544064e-07        2.369616e-07
O2                            3.834507e-02        3.829720e-02
OH                            3.579189e-05        2.557195e-05
H2O                           1.828863e-01        1.829549e-01
HO2                           6.645751e-08        7.487728e-08
H2O2                          8.284446e-09        8.712825e-09
C                             5.137971e-23        1.927455e-22
CH                            2.205628e-17        3.040438e-16
CH2                           3.574240e-13        8.262627e-12
CH2(S)                        1.286354e-14        2.695757e-13
CH3                           2.822239e-10        7.621960e-09
CH4                           2.044977e-05        1.092723e-07
CO                            9.657705e-07        9.696784e-07
CO2                           6.096740e-02        6.098851e-02
HCO                           1.365074e-13        2.715133e-12
CH2O                          9.026192e-10        4.988921e-09
CH2OH                         4.112759e-14        9.390412e-13
CH3O                          3.859562e-13        1.139015e-12
CH3OH                         3.214742e-10        4.409706e-09
C2H                           9.992436e-17        4.679368e-17
C2H2                          1.679242e-11        1.466916e-11
C2H3                          8.834114e-16        2.443518e-15
C2H4                          1.789101e-10        7.867024e-12
C2H5                          2.676584e-13        1.053496e-14
C2H6                          4.080082e-10        1.617145e-12
HCCO                          2.151812e-15        3.200960e-15
CH2CO                         1.081670e-11        2.852038e-12
HCCOH                         2.771971e-10        1.786210e-10
N                             3.004368e-15        1.837653e-15
NH                            7.432297e-14        6.836334e-14
NH2                           1.187205e-11        1.281536e-11
NH3                           5.868383e-10        7.373675e-10
NNH                           8.592712e-15        5.605130e-15
NO                            1.979785e-05        1.973171e-05
NO2                           9.756582e-08        1.618561e-07
N2O                           1.008188e-07        1.158434e-07
HNO                           6.050793e-12        7.036915e-12
CN                            1.124512e-15        1.253660e-15
HCN                           1.934821e-10        3.726428e-10
H2CN                          2.306157e-18        6.079356e-17
HCNN                          3.384583e-19        6.899666e-18
HCNO                          6.277014e-09        6.823949e-09
HOCN                          5.958525e-10        6.638996e-10
HNCO                          1.369301e-09        1.856694e-09
NCO                           2.168097e-12        2.384012e-12
N2                            7.177023e-01        7.177115e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          7.197104e-16        1.149821e-18
C3H8                          3.212424e-12        3.159332e-15
CH2CHO                        1.308487e-14        7.237529e-16
CH3CHO                        1.410420e-12        3.496625e-15
-----------------------------------------------------------------------------
