
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0197204
T[K]                          870.521             870.521
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.37108             0.37108
MW[kg/kmol]                   26.50703            26.50704
Phi[-]                        1000.00000          0.79836
H[J/kg]                       5.168076e+05        5.168032e+05
U[J/kg]                       2.437511e+05        2.437469e+05
Conv.(%) H2                   0.000000e+00        9.574811e-04
Conv.(%) CH4                  0.000000e+00        -1.301618e-04
Total species (kmol/s)        2.739252e-04        2.739251e-04
Element(kmol/s) C             1.619780e-05        1.619780e-05
Element(kmol/s) H             9.718681e-05        9.718681e-05
Element(kmol/s) O             1.014445e-04        1.014445e-04
Element(kmol/s) N             3.816247e-04        3.816247e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            4.494309e-03        4.494266e-03
H                             5.907124e-10        4.481027e-12
O                             2.292304e-09        1.276215e-11
O2                            2.234042e-01        2.234035e-01
OH                            4.072096e-09        6.261749e-12
H2O                           8.372179e-05        8.390035e-05
HO2                           2.211000e-07        5.698645e-07
H2O2                          6.984580e-08        2.588935e-07
C                             6.906843e-20        3.251801e-26
CH                            3.425946e-16        7.230798e-23
CH2                           3.170097e-12        1.197717e-17
CH2(S)                        3.003715e-13        1.184117e-19
CH3                           6.720262e-08        3.471738e-09
CH4                           3.576195e-02        3.576199e-02
CO                            4.408765e-06        4.410696e-06
CO2                           6.020501e-05        6.020518e-05
HCO                           1.115801e-10        3.766234e-15
CH2O                          1.546080e-06        1.575689e-06
CH2OH                         1.159835e-11        1.740970e-16
CH3O                          1.932637e-09        3.479415e-12
CH3OH                         4.540519e-07        4.649906e-07
C2H                           5.401725e-17        7.744595e-23
C2H2                          7.944101e-10        7.944569e-10
C2H3                          2.933452e-12        1.971148e-17
C2H4                          3.527993e-07        3.541575e-07
C2H5                          1.384532e-09        3.120327e-13
C2H6                          8.671194e-07        8.672305e-07
HCCO                          1.562142e-12        2.219484e-17
CH2CO                         2.969018e-08        2.969532e-08
HCCOH                         2.414093e-13        2.413131e-13
N                             7.655184e-17        8.232048e-21
NH                            1.989908e-14        2.096756e-16
NH2                           3.185005e-14        8.314879e-17
NH3                           3.200699e-12        3.243242e-12
NNH                           8.343045e-15        3.266768e-17
NO                            1.061771e-08        7.868705e-09
NO2                           3.992189e-09        8.208174e-09
N2O                           6.342759e-10        6.343828e-10
HNO                           8.037483e-13        3.116150e-15
CN                            5.429741e-22        1.585015e-25
HCN                           5.454490e-12        5.454919e-12
H2CN                          2.896083e-16        1.454572e-19
HCNN                          1.794710e-17        3.305522e-23
HCNO                          6.407084e-12        6.406197e-12
HOCN                          2.210419e-13        2.209948e-13
HNCO                          1.080199e-10        1.080280e-10
NCO                           7.966517e-15        1.427231e-17
N2                            7.361876e-01        7.361876e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          5.518465e-12        3.180524e-15
C3H8                          1.001331e-08        1.001272e-08
CH2CHO                        9.983408e-11        4.633032e-14
CH3CHO                        4.385888e-09        4.384487e-09
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.909266e-02        5.909212e-02
H                             1.553376e-08        1.178361e-10
O                             3.797874e-09        2.114424e-11
O2                            1.850672e-01        1.850668e-01
OH                            6.346751e-09        9.759539e-12
H2O                           1.231871e-04        1.234499e-04
HO2                           1.775649e-07        4.576569e-07
H2O2                          5.443067e-08        2.017552e-07
C                             1.524269e-19        7.176391e-26
CH                            6.975317e-16        1.472211e-22
CH2                           5.990580e-12        2.263345e-17
CH2(S)                        5.676166e-13        2.237645e-19
CH3                           1.184797e-07        6.120753e-09
CH4                           5.908764e-02        5.908775e-02
CO                            4.172198e-06        4.174028e-06
CO2                           3.626204e-05        3.626216e-05
HCO                           1.019249e-10        3.440338e-15
CH2O                          1.364883e-06        1.391023e-06
CH2OH                         9.906486e-12        1.487013e-16
CH3O                          1.650721e-09        2.971870e-12
CH3OH                         3.756185e-07        3.846678e-07
C2H                           5.720484e-17        8.201611e-23
C2H2                          8.087201e-10        8.087681e-10
C2H3                          2.874995e-12        1.931868e-17
C2H4                          3.333451e-07        3.346285e-07
C2H5                          1.262811e-09        2.846007e-13
C2H6                          7.643752e-07        7.644735e-07
HCCO                          1.009231e-12        1.433911e-17
CH2CO                         1.872157e-08        1.872482e-08
HCCOH                         1.522241e-13        1.521635e-13
N                             1.448677e-16        1.557844e-20
NH                            3.512925e-14        3.701552e-16
NH2                           5.268990e-14        1.375541e-16
NH3                           4.981565e-12        5.047782e-12
NNH                           7.620059e-15        2.983680e-17
NO                            9.379592e-09        6.951147e-09
NO2                           2.300208e-09        4.729365e-09
N2O                           3.819956e-10        3.820602e-10
HNO                           6.869473e-13        2.663311e-15
CN                            5.531799e-22        1.614807e-25
HCN                           5.349750e-12        5.350173e-12
H2CN                          2.738338e-16        1.375345e-19
HCNN                          1.159370e-17        2.135345e-23
HCNO                          3.947304e-12        3.946760e-12
HOCN                          1.361804e-13        1.361515e-13
HNCO                          6.654939e-11        6.655439e-11
NCO                           5.025792e-15        9.003900e-18
N2                            6.965856e-01        6.965859e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.394791e-12        1.956562e-15
C3H8                          6.019076e-09        6.018720e-09
CH2CHO                        6.147765e-11        2.853014e-14
CH3CHO                        2.639023e-09        2.638181e-09
-----------------------------------------------------------------------------
