
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00269035
T[K]                          1334.902            1334.902
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.26337             0.26337
MW[kg/kmol]                   28.84870            28.84870
Phi[-]                        1000.00000          0.00091
H[J/kg]                       1.144601e+06        1.144601e+06
U[J/kg]                       7.598696e+05        7.598698e+05
Conv.(%) H2                   0.000000e+00        -3.659961e-01
Conv.(%) CH4                  0.000000e+00        2.931050e+00
Total species (kmol/s)        2.377857e-04        2.377857e-04
Element(kmol/s) C             1.821163e-08        1.821163e-08
Element(kmol/s) H             1.092698e-07        1.092698e-07
Element(kmol/s) O             9.985849e-05        9.985849e-05
Element(kmol/s) N             3.756581e-04        3.756581e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.005912e-11        1.009593e-11
H                             2.199890e-12        1.096330e-12
O                             1.221731e-07        1.186313e-07
O2                            2.326853e-01        2.326853e-01
OH                            4.670211e-07        4.916483e-07
H2O                           1.432301e-04        1.432179e-04
HO2                           9.995867e-09        6.861424e-09
H2O2                          8.354164e-12        5.951775e-12
C                             2.194354e-32        7.340079e-36
CH                            1.168573e-29        2.231960e-31
CH2                           6.562371e-25        2.137399e-25
CH2(S)                        1.042974e-26        2.069476e-27
CH3                           5.792281e-25        4.903221e-25
CH4                           2.132378e-25        2.069877e-25
CO                            1.439060e-10        1.437071e-10
CO2                           1.168362e-04        1.168362e-04
HCO                           3.581838e-22        2.954572e-23
CH2O                          3.788702e-21        4.056205e-21
CH2OH                         3.875456e-30        1.415853e-30
CH3O                          2.428154e-28        1.712712e-28
CH3OH                         4.970514e-25        4.690048e-25
C2H                           3.009135e-26        1.100160e-26
C2H2                          1.085393e-19        1.079547e-19
C2H3                          5.824368e-30        1.943467e-30
C2H4                          8.278610e-30        7.911980e-30
C2H5                          6.393661e-39        2.958175e-39
C2H6                          1.856365e-41        1.969417e-41
HCCO                          2.146050e-24        1.215863e-24
CH2CO                         5.477828e-20        5.312836e-20
HCCOH                         9.283763e-16        9.283522e-16
N                             5.077137e-15        1.161890e-16
NH                            1.075877e-16        1.360750e-18
NH2                           1.190457e-18        8.907566e-19
NH3                           1.328682e-18        1.405327e-18
NNH                           1.269703e-16        3.321226e-17
NO                            7.544398e-08        7.548127e-08
NO2                           1.450908e-09        1.401367e-09
N2O                           5.670858e-08        5.728620e-08
HNO                           5.966338e-16        3.283333e-16
CN                            1.825673e-24        6.834055e-25
HCN                           2.036993e-17        2.033746e-17
H2CN                          3.742809e-29        2.657436e-29
HCNN                          8.940536e-32        2.142548e-33
HCNO                          2.807254e-13        2.807242e-13
HOCN                          3.942334e-15        3.942262e-15
HNCO                          1.176019e-16        1.178013e-16
NCO                           6.874385e-18        1.066407e-18
N2                            7.670539e-01        7.670539e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          4.204024e-56        7.505355e-56
C3H8                          3.213131e-56        1.490265e-56
CH2CHO                        1.561538e-29        9.970341e-30
CH3CHO                        1.571725e-32        1.409657e-32
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.439447e-10        1.444715e-10
H                             6.296029e-11        3.137668e-11
O                             2.202972e-07        2.139109e-07
O2                            2.097840e-01        2.097840e-01
OH                            7.922003e-07        8.339751e-07
H2O                           2.293645e-04        2.293450e-04
HO2                           8.736829e-09        5.997188e-09
H2O2                          7.085517e-12        5.047950e-12
C                             5.270524e-32        1.762982e-35
CH                            2.589431e-29        4.945783e-31
CH2                           1.349653e-24        4.395892e-25
CH2(S)                        2.145037e-26        4.256199e-27
CH3                           1.111405e-24        9.408150e-25
CH4                           3.834466e-25        3.722076e-25
CO                            1.482149e-10        1.480101e-10
CO2                           7.658825e-05        7.658825e-05
HCO                           3.560941e-22        2.937334e-23
CH2O                          3.640150e-21        3.897164e-21
CH2OH                         3.602561e-30        1.316154e-30
CH3O                          2.257172e-28        1.592109e-28
CH3OH                         4.475154e-25        4.222639e-25
C2H                           3.468223e-26        1.268006e-26
C2H2                          1.202557e-19        1.196079e-19
C2H3                          6.212580e-30        2.073005e-30
C2H4                          8.513123e-30        8.136107e-30
C2H5                          6.346735e-39        2.936463e-39
C2H6                          1.780969e-41        1.889429e-41
HCCO                          1.508951e-24        8.549089e-25
CH2CO                         3.759265e-20        3.646036e-20
HCCOH                         6.371161e-16        6.370996e-16
N                             1.045683e-14        2.393019e-16
NH                            2.067110e-16        2.614444e-18
NH2                           2.143364e-18        1.603768e-18
NH3                           2.250646e-18        2.380474e-18
NNH                           1.262121e-16        3.301394e-17
NO                            7.253419e-08        7.257004e-08
NO2                           9.098317e-10        8.787654e-10
N2O                           3.717013e-08        3.754874e-08
HNO                           5.549787e-16        3.054101e-16
CN                            2.024302e-24        7.577585e-25
HCN                           2.174373e-17        2.170907e-17
H2CN                          3.851579e-29        2.734664e-29
HCNN                          6.285742e-32        1.506342e-33
HCNO                          1.882293e-13        1.882284e-13
HOCN                          2.643375e-15        2.643327e-15
HNCO                          7.885330e-17        7.898696e-17
NCO                           4.719925e-18        7.321907e-19
N2                            7.899089e-01        7.899089e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.814654e-56        5.024942e-56
C3H8                          2.102062e-56        9.749463e-57
CH2CHO                        1.046540e-29        6.682109e-30
CH3CHO                        1.029265e-32        9.231329e-33
-----------------------------------------------------------------------------
