
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1e-06
T[K]                          300.000             300.000
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.36680             0.36680
MW[kg/kmol]                   9.02950             9.02950
Phi[-]                        1000.00000          1000.00000
H[J/kg]                       -4.124266e+06       -4.124266e+06
U[J/kg]                       -4.400509e+06       -4.400509e+06
Conv.(%) H2                   0.000000e+00        0.000000e+00
Conv.(%) CH4                  0.000000e+00        0.000000e+00
Total species (kmol/s)        2.868376e-05        2.868376e-05
Element(kmol/s) C             1.434188e-05        1.434188e-05
Element(kmol/s) H             8.605128e-05        8.605128e-05
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.116341e-01        1.116341e-01
H                             0.000000e+00        3.897985e-68
O                             0.000000e+00        0.000000e+00
O2                            0.000000e+00        0.000000e+00
OH                            0.000000e+00        0.000000e+00
H2O                           0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
H2O2                          0.000000e+00        0.000000e+00
C                             0.000000e+00        2.344682e-198
CH                            0.000000e+00        1.207663e-137
CH2                           0.000000e+00        0.000000e+00
CH2(S)                        0.000000e+00        0.000000e+00
CH3                           0.000000e+00        5.811796e-67
CH4                           8.883659e-01        8.883659e-01
CO                            0.000000e+00        0.000000e+00
CO2                           0.000000e+00        0.000000e+00
HCO                           0.000000e+00        0.000000e+00
CH2O                          0.000000e+00        0.000000e+00
CH2OH                         0.000000e+00        0.000000e+00
CH3O                          0.000000e+00        0.000000e+00
CH3OH                         0.000000e+00        0.000000e+00
C2H                           0.000000e+00        0.000000e+00
C2H2                          0.000000e+00        0.000000e+00
C2H3                          0.000000e+00        0.000000e+00
C2H4                          0.000000e+00        0.000000e+00
C2H5                          0.000000e+00        0.000000e+00
C2H6                          0.000000e+00        0.000000e+00
HCCO                          0.000000e+00        0.000000e+00
CH2CO                         0.000000e+00        0.000000e+00
HCCOH                         0.000000e+00        0.000000e+00
N                             0.000000e+00        0.000000e+00
NH                            0.000000e+00        0.000000e+00
NH2                           0.000000e+00        0.000000e+00
NH3                           0.000000e+00        0.000000e+00
NNH                           0.000000e+00        0.000000e+00
NO                            0.000000e+00        0.000000e+00
NO2                           0.000000e+00        0.000000e+00
N2O                           0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
CN                            0.000000e+00        0.000000e+00
HCN                           0.000000e+00        0.000000e+00
H2CN                          0.000000e+00        0.000000e+00
HCNN                          0.000000e+00        0.000000e+00
HCNO                          0.000000e+00        0.000000e+00
HOCN                          0.000000e+00        0.000000e+00
HNCO                          0.000000e+00        0.000000e+00
NCO                           0.000000e+00        0.000000e+00
N2                            0.000000e+00        0.000000e+00
AR                            0.000000e+00        0.000000e+00
C3H7                          0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
CH2CHO                        0.000000e+00        0.000000e+00
CH3CHO                        0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.000000e-01        5.000000e-01
H                             0.000000e+00        3.491752e-67
O                             0.000000e+00        0.000000e+00
O2                            0.000000e+00        0.000000e+00
OH                            0.000000e+00        0.000000e+00
H2O                           0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
H2O2                          0.000000e+00        0.000000e+00
C                             0.000000e+00        1.762659e-198
CH                            0.000000e+00        8.375905e-138
CH2                           0.000000e+00        0.000000e+00
CH2(S)                        0.000000e+00        0.000000e+00
CH3                           0.000000e+00        3.490363e-67
CH4                           5.000000e-01        5.000000e-01
CO                            0.000000e+00        0.000000e+00
CO2                           0.000000e+00        0.000000e+00
HCO                           0.000000e+00        0.000000e+00
CH2O                          0.000000e+00        0.000000e+00
CH2OH                         0.000000e+00        0.000000e+00
CH3O                          0.000000e+00        0.000000e+00
CH3OH                         0.000000e+00        0.000000e+00
C2H                           0.000000e+00        0.000000e+00
C2H2                          0.000000e+00        0.000000e+00
C2H3                          0.000000e+00        0.000000e+00
C2H4                          0.000000e+00        0.000000e+00
C2H5                          0.000000e+00        0.000000e+00
C2H6                          0.000000e+00        0.000000e+00
HCCO                          0.000000e+00        0.000000e+00
CH2CO                         0.000000e+00        0.000000e+00
HCCOH                         0.000000e+00        0.000000e+00
N                             0.000000e+00        0.000000e+00
NH                            0.000000e+00        0.000000e+00
NH2                           0.000000e+00        0.000000e+00
NH3                           0.000000e+00        0.000000e+00
NNH                           0.000000e+00        0.000000e+00
NO                            0.000000e+00        0.000000e+00
NO2                           0.000000e+00        0.000000e+00
N2O                           0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
CN                            0.000000e+00        0.000000e+00
HCN                           0.000000e+00        0.000000e+00
H2CN                          0.000000e+00        0.000000e+00
HCNN                          0.000000e+00        0.000000e+00
HCNO                          0.000000e+00        0.000000e+00
HOCN                          0.000000e+00        0.000000e+00
HNCO                          0.000000e+00        0.000000e+00
NCO                           0.000000e+00        0.000000e+00
N2                            0.000000e+00        0.000000e+00
AR                            0.000000e+00        0.000000e+00
C3H7                          0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
CH2CHO                        0.000000e+00        0.000000e+00
CH3CHO                        0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
