
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00315022
T[K]                          1659.994            1659.994
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.20019             0.20040
MW[kg/kmol]                   27.26854            27.29689
Phi[-]                        1000.00000          0.79875
H[J/kg]                       -7.075658e+05       -7.294393e+05
U[J/kg]                       -1.213715e+06       -1.235063e+06
Conv.(%) H2                   0.000000e+00        6.983240e+01
Conv.(%) CH4                  0.000000e+00        9.919446e+01
Total species (kmol/s)        3.324003e-04        3.320550e-04
Element(kmol/s) C             2.022973e-05        2.022973e-05
Element(kmol/s) H             1.213784e-04        1.213784e-04
Element(kmol/s) O             1.266340e-04        1.266340e-04
Element(kmol/s) N             4.763850e-04        4.763850e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.446267e-05        1.643008e-05
H                             3.568704e-06        7.707920e-07
O                             9.766575e-05        4.618257e-05
O2                            4.601177e-02        4.499147e-02
OH                            7.605234e-04        6.217757e-04
H2O                           1.196506e-01        1.201368e-01
HO2                           9.034677e-06        1.772822e-06
H2O2                          7.705803e-07        1.674723e-07
C                             1.109691e-12        5.138611e-15
CH                            1.468261e-10        3.084652e-12
CH2                           3.068828e-08        8.079452e-10
CH2(S)                        1.253518e-09        4.216513e-11
CH3                           1.573312e-06        3.226915e-08
CH4                           1.728316e-05        1.392224e-07
CO                            1.683231e-03        3.913905e-04
CO2                           9.551550e-02        9.760631e-02
HCO                           3.215834e-08        4.399896e-10
CH2O                          2.631430e-06        3.414917e-08
CH2OH                         9.236142e-09        1.490817e-10
CH3O                          6.678123e-09        4.945952e-11
CH3OH                         1.261790e-06        8.616250e-09
C2H                           3.795620e-11        3.181954e-12
C2H2                          1.675319e-07        7.297626e-09
C2H3                          3.959762e-09        4.504676e-11
C2H4                          5.404119e-07        4.443672e-09
C2H5                          8.439822e-09        1.292735e-11
C2H6                          1.161324e-07        1.846513e-10
HCCO                          1.423166e-08        4.007248e-10
CH2CO                         4.235813e-07        5.944284e-09
HCCOH                         6.112596e-09        2.265449e-09
N                             1.730498e-10        3.184906e-11
NH                            5.583573e-10        5.233458e-11
NH2                           1.237403e-09        1.994654e-10
NH3                           4.332842e-09        8.546170e-10
NNH                           1.242684e-10        3.002534e-11
NO                            2.237004e-05        2.342580e-05
NO2                           8.649742e-08        5.440248e-08
N2O                           9.610534e-06        2.795872e-06
HNO                           3.078256e-09        4.530638e-10
CN                            6.703087e-12        1.982466e-12
HCN                           4.766321e-08        6.303962e-09
H2CN                          1.485639e-13        1.744454e-15
HCNN                          5.249115e-12        2.931319e-14
HCNO                          1.800047e-08        5.565052e-09
HOCN                          9.045920e-10        7.189331e-10
HNCO                          2.049544e-07        4.041724e-08
NCO                           3.921248e-09        8.617296e-10
N2                            7.361564e-01        7.361603e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.770996e-11        3.036634e-14
C3H8                          2.057298e-09        3.245568e-12
CH2CHO                        1.376892e-09        3.841848e-12
CH3CHO                        3.747180e-08        2.265235e-10
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            7.366654e-04        2.224653e-04
H                             9.654101e-05        2.087324e-05
O                             1.664606e-04        7.879497e-05
O2                            3.921100e-02        3.838137e-02
OH                            1.219402e-03        9.979740e-04
H2O                           1.811100e-01        1.820351e-01
HO2                           7.464172e-06        1.466174e-06
H2O2                          6.177632e-07        1.343997e-07
C                             2.519328e-12        1.167830e-14
CH                            3.075300e-10        6.467579e-12
CH2                           5.965813e-08        1.572282e-09
CH2(S)                        2.436844e-09        8.205439e-11
CH3                           2.853470e-06        5.858647e-08
CH4                           2.937645e-05        2.368845e-07
CO                            1.638674e-03        3.814260e-04
CO2                           5.918263e-02        6.054100e-02
HCO                           3.021955e-08        4.138930e-10
CH2O                          2.389771e-06        3.104530e-08
CH2OH                         8.115490e-09        1.311293e-10
CH3O                          5.867844e-09        4.350362e-11
CH3OH                         1.073815e-06        7.340267e-09
C2H                           4.135079e-11        3.470134e-12
C2H2                          1.754494e-07        7.650453e-09
C2H3                          3.992344e-09        4.546464e-11
C2H4                          5.252813e-07        4.323749e-09
C2H5                          7.918988e-09        1.214219e-11
C2H6                          1.053130e-07        1.676224e-10
HCCO                          9.458593e-09        2.666051e-10
CH2CO                         2.747685e-07        3.859944e-09
HCCOH                         3.965116e-09        1.471078e-09
N                             3.368898e-10        6.206757e-11
NH                            1.014025e-09        9.514295e-11
NH2                           2.105859e-09        3.398106e-10
NH3                           6.937366e-09        1.369760e-09
NNH                           1.167603e-10        2.824059e-11
NO                            2.032922e-05        2.131079e-05
NO2                           5.126961e-08        3.227951e-08
N2O                           5.954269e-06        1.734002e-06
HNO                           2.706505e-09        3.987629e-10
CN                            7.025267e-12        2.079913e-12
HCN                           4.809095e-08        6.367149e-09
H2CN                          1.445074e-13        1.698586e-15
HCNN                          3.488307e-12        1.950037e-14
HCNO                          1.140841e-08        3.530706e-09
HOCN                          5.733156e-10        4.561218e-10
HNCO                          1.298968e-07        2.564242e-08
NCO                           2.544844e-09        5.598339e-10
N2                            7.165671e-01        7.173159e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.120761e-11        1.923708e-14
C3H8                          1.272184e-09        2.009069e-12
CH2CHO                        8.722460e-10        2.436300e-12
CH3CHO                        2.319482e-08        1.403625e-10
-----------------------------------------------------------------------------
