
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1
T[K]                          830.938             1802.267
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.40512             0.18649
MW[kg/kmol]                   27.62305            27.58029
Phi[-]                        1.00001             1.00001
H[J/kg]                       -1.002059e+06       -1.002059e+06
U[J/kg]                       -1.252169e+06       -1.545378e+06
Conv.(%) O2                   0.000000e+00        9.835106e+01
Conv.(%) CH4                  0.000000e+00        9.999419e+01
Conv.(%) N2                   0.000000e+00        2.674774e-03
Total species (kmol/s)        3.620165e-02        3.625777e-02
Element(kmol/s) C             3.438674e-03        3.438674e-03
Element(kmol/s) H             1.375470e-02        1.375470e-02
Element(kmol/s) O             1.375462e-02        1.375462e-02
Element(kmol/s) N             5.174364e-02        5.174364e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.564240e-05        8.742854e-05
H                             4.726939e-07        1.974150e-06
O                             1.003866e-06        1.152542e-05
O2                            1.104144e-01        1.820664e-03
OH                            2.788810e-05        3.476288e-04
H2O                           6.169941e-02        1.229074e-01
HO2                           2.678458e-07        1.925079e-07
H2O2                          7.859539e-08        2.689932e-08
C                             7.614109e-15        1.154848e-11
CH                            7.192090e-14        1.550712e-10
CH2                           2.278683e-11        1.619153e-08
CH2(S)                        3.507937e-13        6.491657e-10
CH3                           1.650755e-09        5.335610e-07
CH4                           2.758333e-02        1.602508e-06
CO                            3.753175e-04        2.315897e-03
CO2                           7.507652e-02        1.476869e-01
HCO                           4.975527e-11        2.848587e-09
CH2O                          2.108927e-09        3.502440e-07
CH2OH                         1.420891e-11        1.904067e-09
CH3O                          1.450242e-12        1.627992e-10
CH3OH                         1.582775e-09        4.944341e-08
C2H                           9.706247e-16        1.025934e-12
C2H2                          6.254702e-11        2.701719e-09
C2H3                          4.286083e-14        5.351783e-12
C2H4                          3.983495e-12        6.868435e-10
C2H5                          5.962722e-15        3.790829e-12
C2H6                          1.600404e-13        5.717321e-11
HCCO                          2.276205e-12        4.336682e-10
CH2CO                         3.004725e-11        2.468483e-09
HCCOH                         8.574556e-13        2.317364e-10
N                             1.234792e-11        1.124495e-10
NH                            6.551445e-11        1.472322e-10
NH2                           1.623359e-10        2.314561e-09
NH3                           2.828047e-09        2.042966e-08
