
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0346173
T[K]                          1474.287            1474.287
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.22575             0.22576
MW[kg/kmol]                   27.31017            27.31169
Phi[-]                        1000.00000          0.79904
H[J/kg]                       -1.005330e+06       -1.006543e+06
U[J/kg]                       -1.454170e+06       -1.455359e+06
Conv.(%) H2                   0.000000e+00        7.182601e+01
Conv.(%) CH4                  0.000000e+00        9.914235e+01
Total species (kmol/s)        1.168862e-03        1.168797e-03
Element(kmol/s) C             7.126960e-05        7.126960e-05
Element(kmol/s) H             4.276176e-04        4.276176e-04
Element(kmol/s) O             4.459726e-04        4.459726e-04
Element(kmol/s) N             1.677707e-03        1.677707e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.092891e-06        5.896510e-07
H                             5.756837e-08        7.152965e-09
O                             5.725764e-06        1.775436e-06
O2                            4.488489e-02        4.487522e-02
OH                            1.386125e-04        8.649412e-05
H2O                           1.205684e-01        1.206113e-01
HO2                           4.938910e-07        2.696190e-07
H2O2                          4.429028e-08        2.967586e-08
C                             2.156321e-15        1.729058e-20
CH                            1.035113e-12        8.158941e-16
CH2                           6.200822e-10        2.718594e-12
CH2(S)                        2.393551e-11        1.124993e-13
CH3                           4.922132e-08        6.133388e-10
CH4                           5.032395e-07        4.316023e-09
CO                            5.140767e-05        9.957694e-06
CO2                           9.817326e-02        9.824015e-02
HCO                           5.693347e-10        1.452558e-12
CH2O                          7.557937e-08        6.679966e-10
CH2OH                         1.626065e-10        5.410358e-13
CH3O                          1.410075e-10        3.337726e-13
CH3OH                         3.567174e-08        3.406167e-10
C2H                           4.776410e-13        1.158158e-14
C2H2                          4.278259e-09        3.242332e-10
C2H3                          4.755638e-11        1.541070e-13
C2H4                          1.069236e-08        8.972803e-11
C2H5                          1.713331e-10        6.778451e-14
C2H6                          2.738451e-09        4.187075e-12
HCCO                          1.333295e-10        7.923762e-13
CH2CO                         7.203492e-09        9.820921e-11
HCCOH                         2.066851e-09        1.245684e-09
N                             1.346598e-12        8.922951e-14
NH                            4.645683e-12        3.396526e-13
NH2                           6.782937e-11        1.861097e-11
NH3                           6.725070e-10        3.589491e-10
NNH                           1.996940e-12        2.257876e-13
NO                            2.180169e-05        2.183769e-05
NO2                           1.231654e-07        1.046970e-07
N2O                           5.919790e-07        3.216490e-07
HNO                           8.616674e-11        2.774979e-11
CN                            1.980748e-13        1.218184e-14
HCN                           1.972645e-09        4.027656e-10
H2CN                          1.650214e-15        1.306018e-17
HCNN                          4.867877e-14        2.021801e-17
HCNO                          9.865480e-09        7.505404e-09
HOCN                          9.339789e-10        5.973435e-10
HNCO                          1.761653e-08        5.509332e-09
NCO                           1.933413e-10        2.487610e-11
N2                            7.361518e-01        7.361520e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.468725e-13        5.835901e-17
C3H8                          2.816786e-11        4.322089e-14
CH2CHO                        1.911703e-11        2.361896e-14
CH3CHO                        5.523663e-10        1.971008e-12
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.835179e-05        7.988276e-06
H                             1.559724e-06        1.938091e-07
O                             9.773836e-06        3.030824e-06
O2                            3.830909e-02        3.830296e-02
OH                            2.225866e-04        1.389017e-04
H2O                           1.827779e-01        1.828530e-01
HO2                           4.086604e-07        2.231034e-07
H2O2                          3.556109e-08        2.382836e-08
C                             4.902963e-15        3.931687e-20
CH                            2.171373e-12        1.711610e-15
CH2                           1.207282e-09        5.293320e-12
CH2(S)                        4.660175e-11        2.190452e-13
CH3                           8.940756e-08        1.114155e-09
CH4                           8.566699e-07        7.347621e-09
CO                            5.012325e-05        9.709441e-06
CO2                           6.092228e-02        6.096717e-02
HCO                           5.358270e-10        1.367145e-12
CH2O                          6.874328e-08        6.076106e-10
CH2OH                         1.430950e-10        4.761424e-13
CH3O                          1.240878e-10        2.937389e-13
CH3OH                         3.040389e-08        2.903320e-10
C2H                           5.211529e-13        1.263734e-14
C2H2                          4.487287e-09        3.400936e-10
C2H3                          4.802088e-11        1.556209e-13
C2H4                          1.040886e-08        8.735382e-11
C2H5                          1.610053e-10        6.370207e-14
C2H6                          2.487116e-09        3.802996e-12
HCCO                          8.874826e-11        5.274594e-13
CH2CO                         4.679891e-09        6.380711e-11
HCCOH                         1.342771e-09        8.093282e-10
N                             2.625532e-12        1.739851e-13
NH                            8.449843e-12        6.178146e-13
NH2                           1.156108e-10        3.172297e-11
NH3                           1.078403e-09        5.756272e-10
NNH                           1.879153e-12        2.124816e-13
NO                            1.984296e-05        1.987683e-05
NO2                           7.311528e-08        6.215526e-08
N2O                           3.673244e-07        1.995951e-07
HNO                           7.587633e-11        2.443714e-11
CN                            2.079121e-13        1.278755e-14
HCN                           1.993387e-09        4.070232e-10
H2CN                          1.607606e-15        1.272367e-17
HCNN                          3.239894e-14        1.345717e-17
HCNO                          6.262125e-09        4.764329e-09
HOCN                          5.928443e-10        3.791856e-10
HNCO                          1.118212e-08        3.497250e-09
NCO                           1.256678e-10        1.616985e-11
N2                            7.176566e-01        7.176966e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          9.308900e-14        3.699049e-17
C3H8                          1.744493e-11        2.676907e-14
CH2CHO                        1.212892e-11        1.498603e-14
CH3CHO                        3.424334e-10        1.221973e-12
-----------------------------------------------------------------------------
