
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0488564
T[K]                          1350.097            1350.097
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.24653             0.24653
MW[kg/kmol]                   27.31226            27.31238
Phi[-]                        1000.00000          0.79919
H[J/kg]                       -1.181234e+06       -1.181342e+06
U[J/kg]                       -1.592234e+06       -1.592340e+06
Conv.(%) H2                   0.000000e+00        5.851602e+01
Conv.(%) CH4                  0.000000e+00        9.675052e+01
Total species (kmol/s)        5.705578e-03        5.705551e-03
Element(kmol/s) C             3.479785e-04        3.479785e-04
Element(kmol/s) H             2.087871e-03        2.087871e-03
Element(kmol/s) O             2.177081e-03        2.177081e-03
Element(kmol/s) N             8.189972e-03        8.189972e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.630938e-07        6.765780e-08
H                             1.598057e-09        3.452144e-10
O                             4.582781e-07        2.076749e-07
O2                            4.486210e-02        4.486391e-02
OH                            2.969935e-05        2.229477e-05
H2O                           1.206669e-01        1.206718e-01
HO2                           1.254458e-07        8.011452e-08
H2O2                          1.452521e-08        1.022612e-08
C                             3.445113e-21        8.399548e-24
CH                            2.759681e-16        1.044676e-17
CH2                           3.946397e-12        1.829762e-13
CH2(S)                        1.333899e-13        6.546930e-15
CH3                           3.496587e-09        1.404787e-10
CH4                           5.250044e-08        1.705991e-09
CO                            2.744453e-06        9.884962e-07
CO2                           9.826907e-02        9.827200e-02
HCO                           2.605336e-12        1.221358e-13
CH2O                          4.544487e-09        1.823459e-10
CH2OH                         9.644981e-13        4.436273e-14
CH3O                          1.106755e-12        4.321356e-14
CH3OH                         4.230224e-09        1.386503e-10
C2H                           2.295665e-15        9.159470e-17
C2H2                          7.455951e-11        1.560279e-11
C2H3                          3.203360e-14        2.718576e-16
C2H4                          2.401994e-11        6.006463e-13
C2H5                          2.225481e-14        8.390468e-17
C2H6                          2.250363e-12        1.266336e-14
HCCO                          1.585744e-13        2.912352e-15
CH2CO                         2.270446e-11        1.268223e-12
HCCOH                         4.644199e-10        4.267869e-10
N                             1.817858e-14        1.541291e-15
NH                            9.655466e-14        4.086909e-14
NH2                           9.684328e-12        6.967228e-12
NH3                           4.401644e-10        3.660559e-10
NNH                           4.887411e-14        9.132007e-15
NO                            2.170720e-05        2.175790e-05
NO2                           2.398107e-07        1.643935e-07
N2O                           2.130130e-07        1.625221e-07
HNO                           1.184812e-11        6.873063e-12
CN                            3.339696e-15        1.071590e-15
HCN                           3.754028e-10        1.915168e-10
H2CN                          5.276537e-17        2.308314e-18
HCNN                          1.229281e-17        5.049712e-19
HCNO                          1.011593e-08        9.891555e-09
HOCN                          9.582531e-10        9.389670e-10
HNCO                          3.429591e-09        2.157741e-09
NCO                           7.807797e-12        3.336524e-12
N2                            7.361465e-01        7.361465e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.285185e-17        2.953633e-20
C3H8                          1.254214e-14        6.995148e-17
CH2CHO                        5.528455e-15        8.383675e-17
CH3CHO                        3.892978e-13        3.561312e-15
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.209553e-06        9.166150e-07
H                             4.330015e-08        9.353797e-09
O                             7.823370e-07        3.545283e-07
O2                            3.829255e-02        3.829428e-02
OH                            4.769544e-05        3.580428e-05
H2O                           1.829412e-01        1.829495e-01
HO2                           1.038056e-07        6.629457e-08
H2O2                          1.166333e-08        8.211313e-09
C                             7.833970e-21        1.910013e-23
CH                            5.789470e-16        2.191612e-17
CH2                           7.684109e-12        3.562784e-13
CH2(S)                        2.597263e-13        1.274772e-14
CH3                           6.351824e-09        2.551918e-10
CH4                           8.937889e-08        2.904362e-09
CO                            2.676087e-06        9.638768e-07
CO2                           6.098639e-02        6.098849e-02
HCO                           2.452188e-12        1.149569e-13
CH2O                          4.133758e-09        1.658663e-10
CH2OH                         8.488309e-13        3.904272e-14
CH3O                          9.740279e-13        3.803137e-14
CH3OH                         3.605797e-09        1.181846e-10
C2H                           2.504986e-15        9.994685e-17
C2H2                          7.820833e-11        1.636644e-11
C2H3                          3.234896e-14        2.745352e-16
C2H4                          2.338485e-11        5.847681e-13
C2H5                          2.091491e-14        7.885338e-17
C2H6                          2.043980e-12        1.150205e-14
HCCO                          1.055601e-13        1.938709e-15
CH2CO                         1.475153e-11        8.239930e-13
HCCOH                         3.017427e-10        2.772930e-10
N                             3.544642e-14        3.005377e-15
NH                            1.756328e-13        7.434113e-14
NH2                           1.650757e-11        1.187615e-11
NH3                           7.058824e-10        5.870389e-10
NNH                           4.599484e-14        8.594063e-15
NO                            1.975847e-05        1.980471e-05
NO2                           1.423708e-07        9.759762e-08
N2O                           1.321852e-07        1.008535e-07
HNO                           1.043396e-11        6.052742e-12
CN                            3.505828e-15        1.124901e-15
HCN                           3.793790e-10        1.935463e-10
H2CN                          5.140691e-17        2.248896e-18
HCNN                          8.182304e-18        3.361189e-19
HCNO                          6.421590e-09        6.279185e-09
HOCN                          6.082987e-10        5.960587e-10
HNCO                          2.177104e-09        1.369739e-09
NCO                           5.075292e-12        2.168846e-12
N2                            7.177062e-01        7.177096e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          8.146230e-18        1.872189e-20
C3H8                          7.768199e-15        4.332589e-17
CH2CHO                        3.507831e-15        5.319506e-17
CH3CHO                        2.413593e-13        2.207975e-15
-----------------------------------------------------------------------------
