
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00970748
T[K]                          1605.643            1605.643
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.20717             0.20726
MW[kg/kmol]                   27.29624            27.30782
Phi[-]                        1000.00000          0.79885
H[J/kg]                       -8.066095e+05       -8.161987e+05
U[J/kg]                       -1.295690e+06       -1.305072e+06
Conv.(%) H2                   0.000000e+00        7.827465e+01
Conv.(%) CH4                  0.000000e+00        9.930709e+01
Total species (kmol/s)        5.146349e-04        5.144168e-04
Element(kmol/s) C             3.135607e-05        3.135607e-05
Element(kmol/s) H             1.881364e-04        1.881364e-04
Element(kmol/s) O             1.962578e-04        1.962578e-04
Element(kmol/s) N             7.383032e-04        7.383032e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.872379e-05        4.067807e-06
H                             7.844116e-07        1.085236e-07
O                             3.694959e-05        1.215438e-05
O2                            4.523398e-02        4.489103e-02
OH                            4.538438e-04        2.825187e-04
H2O                           1.201801e-01        1.204479e-01
HO2                           5.130147e-06        7.404426e-07
H2O2                          3.084025e-07        7.361769e-08
C                             7.187212e-14        8.516395e-17
CH                            3.039735e-11        3.548580e-13
CH2                           1.682575e-08        2.647275e-10
CH2(S)                        6.202136e-10        1.274044e-11
CH3                           1.310483e-06        2.125278e-08
CH4                           1.490417e-05        1.032725e-07
CO                            5.504332e-04        9.386533e-05
CO2                           9.731733e-02        9.808584e-02
HCO                           1.693093e-08        1.263334e-10
CH2O                          2.169854e-06        2.097191e-08
CH2OH                         4.683872e-09        4.770518e-11
CH3O                          4.328003e-09        1.928430e-11
CH3OH                         1.061998e-06        6.857535e-09
C2H                           5.709921e-12        8.217338e-13
C2H2                          7.475923e-08        4.779981e-09
C2H3                          1.403233e-09        1.169165e-11
C2H4                          3.163574e-07        2.324419e-09
C2H5                          5.502578e-09        4.394453e-12
C2H6                          8.725535e-08        1.178843e-10
HCCO                          3.484705e-09        7.602808e-11
CH2CO                         2.008639e-07        2.551054e-09
HCCOH                         3.641063e-09        4.012912e-09
N                             2.471802e-11        2.692274e-12
NH                            8.540250e-11        6.768267e-12
NH2                           5.464001e-10        1.158104e-10
NH3                           2.710987e-09        9.190501e-10
NNH                           2.645344e-11        3.961825e-12
NO                            2.166367e-05        2.193600e-05
NO2                           1.113258e-07        6.930036e-08
N2O                           3.279166e-06        1.034038e-06
HNO                           1.160607e-09        1.255018e-10
CN                            2.031869e-12        3.914850e-13
HCN                           2.112469e-08        3.035899e-09
H2CN                          4.651555e-14        5.631577e-16
HCNN                          1.532981e-12        4.476877e-15
HCNO                          1.762563e-08        9.088634e-09
HOCN                          7.220780e-10        9.310533e-10
HNCO                          1.269109e-07        3.020933e-08
NCO                           1.757325e-09        3.491647e-10
N2                            7.361570e-01        7.361584e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          4.707871e-12        5.232880e-15
C3H8                          8.989008e-10        1.173143e-12
CH2CHO                        6.061602e-10        1.140148e-12
CH3CHO                        1.702707e-08        7.204053e-11
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.535164e-04        5.510066e-05
H                             2.124156e-05        2.940022e-06
O                             6.304051e-05        2.074564e-05
O2                            3.858734e-02        3.831102e-02
OH                            7.284196e-04        4.536349e-04
H2O                           1.820963e-01        1.825795e-01
HO2                           4.242676e-06        6.126120e-07
H2O2                          2.474931e-07        5.910326e-08
C                             1.633369e-13        1.936260e-16
CH                            6.373251e-11        7.443273e-13
CH2                           3.274256e-08        5.153725e-10
CH2(S)                        1.206922e-09        2.480313e-11
CH3                           2.379200e-06        3.860107e-08
CH4                           2.535859e-05        1.757868e-07
CO                            5.364069e-04        9.151221e-05
CO2                           6.036033e-02        6.086278e-02
HCO                           1.592635e-08        1.188879e-10
CH2O                          1.972586e-06        1.907337e-08
CH2OH                         4.119744e-09        4.197733e-11
CH3O                          3.806736e-09        1.696888e-11
CH3OH                         9.047049e-07        5.844339e-09
C2H                           6.226904e-12        8.965144e-13
C2H2                          7.837185e-08        5.013090e-09
C2H3                          1.416217e-09        1.180483e-11
C2H4                          3.078124e-07        2.262594e-09
C2H5                          5.168251e-09        4.129204e-12
C2H6                          7.920663e-08        1.070556e-10
HCCO                          2.318345e-09        5.060228e-11
CH2CO                         1.304287e-07        1.657200e-09
HCCOH                         2.364283e-09        2.606843e-09
N                             4.816942e-11        5.248813e-12
NH                            1.552559e-10        1.230946e-11
NH2                           9.308289e-10        1.973743e-10
NH3                           4.345004e-09        1.473622e-09
NNH                           2.488043e-11        3.727820e-12
NO                            1.970728e-05        1.996349e-05
NO2                           6.605316e-08        4.113556e-08
N2O                           2.033692e-06        6.415674e-07
HNO                           1.021481e-09        1.105043e-10
CN                            2.131694e-12        4.108925e-13
HCN                           2.133592e-08        3.067556e-09
H2CN                          4.529142e-14        5.485699e-16
HCNN                          1.019780e-12        2.979400e-15
HCNO                          1.118219e-08        5.768524e-09
HOCN                          4.581062e-10        5.909362e-10
HNCO                          8.051580e-08        1.917376e-08
NCO                           1.141642e-09        2.269302e-10
N2                            7.172957e-01        7.176011e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.982367e-12        3.316357e-15
C3H8                          5.564237e-10        7.264887e-13
CH2CHO                        3.843861e-10        7.233115e-13
CH3CHO                        1.055036e-08        4.465688e-11
-----------------------------------------------------------------------------
