Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
10     3.135793e-02   3.837120e-02   6.250478e-02   6.823787e-02   2.058111e-02   2.061560e-02   6.954991e-02   8.083920e-02   4.173131e-02   4.252098e-02   3.016396e-02   5.736480e-02   9.453739e-06   9.453768e-06   4.092308e-02   5.651734e-02   5.721442e-02   8.376656e-02   3.156259e-02   4.461388e-02   2.060868e-02   2.072098e-02   1.548040e-05   1.549528e-05   5.900770e-03   8.598413e-03   1.337847e-02   2.210046e-02   1.225384e-02   1.520599e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
11     3.511320e-02   4.220836e-02   6.587501e-02   7.144238e-02   2.497662e-02   2.501049e-02   7.241518e-02   8.334321e-02   4.559737e-02   4.636868e-02   3.278485e-02   5.991814e-02   1.176832e-05   1.176835e-05   4.402557e-02   5.961648e-02   5.986462e-02   8.578180e-02   3.405194e-02   4.725346e-02   2.500210e-02   2.511502e-02   1.846886e-05   1.848383e-05   7.122645e-03   9.918865e-03   1.520599e-02   2.413204e-02   1.388329e-02   1.692923e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
12     3.858620e-02   4.575149e-02   6.881216e-02   7.424724e-02   2.926401e-02   2.929733e-02   7.486327e-02   8.550480e-02   4.922539e-02   4.998182e-02   3.510497e-02   6.210570e-02   1.403806e-05   1.403809e-05   4.675540e-02   6.230978e-02   6.214191e-02   8.752432e-02   3.628586e-02   4.956668e-02   2.928750e-02   2.940030e-02   2.137369e-05   2.138863e-05   8.312918e-03   1.119349e-02   1.692923e-02   2.600406e-02   1.543644e-02   1.856043e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
13     4.184175e-02   4.906707e-02   7.145079e-02   7.677446e-02   3.341808e-02   3.345087e-02   7.702021e-02   8.742189e-02   5.265575e-02   5.339928e-02   3.718637e-02   6.401194e-02   1.624419e-05   1.624422e-05   4.919994e-02   6.469604e-02   6.413333e-02   8.905101e-02   3.831369e-02   5.162403e-02   3.343964e-02   3.355146e-02   2.417997e-05   2.419479e-05   9.465137e-03   1.241939e-02   1.856043e-02   2.774313e-02   1.691890e-02   2.010916e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
14     4.490733e-02   5.218448e-02   7.386314e-02   7.908871e-02   3.742601e-02   3.745821e-02   7.894671e-02   8.914041e-02   5.591006e-02   5.664185e-02   3.907649e-02   6.569774e-02   1.837540e-05   1.837543e-05   5.141578e-02   6.683877e-02   6.590021e-02   9.040276e-02   4.017373e-02   5.347790e-02   3.744563e-02   3.755556e-02   2.688036e-05   2.689499e-05   1.057599e-02   1.359596e-02   2.010916e-02   2.936918e-02   1.833376e-02   2.158142e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
15     4.780134e-02   5.512383e-02   7.608519e-02   8.122171e-02   4.128145e-02   4.131299e-02   8.068483e-02   9.069288e-02   5.899895e-02   5.971969e-02   4.081066e-02   6.720689e-02   2.042614e-05   2.042617e-05   5.344444e-02   6.878363e-02   6.748667e-02   9.160911e-02   4.189408e-02   5.516605e-02   4.129912e-02   4.140626e-02   2.947288e-05   2.948729e-05   1.164388e-02   1.472372e-02   2.158142e-02   3.089562e-02   1.968394e-02   2.298233e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
16     5.053839e-02   5.790095e-02   7.814243e-02   8.319607e-02   4.498127e-02   4.501206e-02   8.226512e-02   9.210313e-02   6.193079e-02   6.264087e-02   4.241384e-02   6.857005e-02   2.239494e-05   2.239497e-05   5.531617e-02   7.056347e-02   6.892377e-02   9.269097e-02   4.349431e-02   5.671479e-02   4.499695e-02   4.510039e-02   3.195830e-05   3.197246e-05   1.266806e-02   1.580351e-02   2.298233e-02   3.233301e-02   2.097212e-02   2.431625e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
17     5.312977e-02   6.052801e-02   8.005377e-02   8.502873e-02   4.852452e-02   4.855446e-02   8.370945e-02   9.338837e-02   6.471260e-02   6.541222e-02   4.390408e-02   6.980923e-02   2.428237e-05   2.428240e-05   5.705236e-02   7.220153e-02   7.023373e-02   9.366349e-02   4.498900e-02   5.814355e-02   4.853816e-02   4.863705e-02   3.433835e-05   3.435225e-05   1.364836e-02   1.683635e-02   2.431625e-02   3.368976e-02   2.220070e-02   2.558679e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
18     5.558415e-02   6.301438e-02   8.183311e-02   8.673222e-02   5.191178e-02   5.194078e-02   8.503363e-02   9.456116e-02   6.735032e-02   6.803955e-02   4.529500e-02   7.094084e-02   2.608977e-05   2.608980e-05   5.866893e-02   7.371500e-02   7.143310e-02   9.453811e-02   4.638933e-02   5.946700e-02   5.192335e-02   5.201685e-02   3.661524e-05   3.662887e-05   1.458503e-02   1.782335e-02   2.558679e-02   3.497245e-02   2.337179e-02   2.679699e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
19     5.790860e-02   6.536760e-02   8.349091e-02   8.831607e-02   5.514469e-02   5.517266e-02   8.624960e-02   9.563114e-02   6.984909e-02   7.052792e-02   4.659703e-02   7.197730e-02   2.781881e-05   2.781884e-05   6.017800e-02   7.511689e-02   7.253440e-02   9.532364e-02   4.770393e-02   6.069630e-02   5.515414e-02   5.524147e-02   3.879134e-05   3.880470e-05   1.547856e-02   1.876565e-02   2.679699e-02   3.618627e-02   2.448732e-02   2.794940e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
