
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.296373
T[K]                          1299.497            1299.497
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.27052             0.27052
MW[kg/kmol]                   28.84678            28.84679
Phi[-]                        1000.00000          0.00181
H[J/kg]                       1.099408e+06        1.099401e+06
U[J/kg]                       7.248558e+05        7.248495e+05
Conv.(%) H2                   0.000000e+00        5.491488e+01
Conv.(%) CH4                  0.000000e+00        2.413569e+01
Total species (kmol/s)        4.528350e-03        4.528348e-03
Element(kmol/s) C             6.898552e-07        6.898552e-07
Element(kmol/s) H             4.139131e-06        4.139131e-06
Element(kmol/s) O             1.901471e-03        1.901471e-03
Element(kmol/s) N             7.153153e-03        7.153153e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.630270e-11        1.636712e-11
H                             4.591723e-12        1.327230e-12
O                             2.550040e-07        1.101506e-07
O2                            2.324636e-01        2.324640e-01
OH                            1.087410e-06        6.572267e-07
H2O                           2.848359e-04        2.850647e-04
HO2                           8.650952e-09        6.083753e-09
H2O2                          3.675183e-11        3.374923e-11
C                             1.124074e-34        7.635844e-36
CH                            2.727233e-30        1.984727e-31
CH2                           1.599714e-24        3.280540e-25
CH2(S)                        1.706100e-26        2.854951e-27
CH3                           3.252406e-24        1.685724e-24
CH4                           6.694125e-25        5.078452e-25
CO                            4.711968e-10        2.959340e-10
CO2                           2.324132e-04        2.324135e-04
HCO                           1.613618e-22        2.859447e-23
CH2O                          1.606930e-20        7.364915e-21
CH2OH                         1.829536e-29        4.167971e-30
CH3O                          1.108348e-27        4.068294e-28
CH3OH                         1.980056e-24        1.298669e-24
C2H                           8.554022e-26        2.178183e-26
C2H2                          3.003865e-19        2.232175e-19
C2H3                          1.301008e-29        3.522611e-30
C2H4                          1.057128e-29        4.650790e-30
C2H5                          9.319439e-39        1.857795e-39
C2H6                          1.099093e-40        3.803493e-41
HCCO                          9.977808e-24        2.860553e-24
CH2CO                         2.160267e-19        1.598373e-19
HCCOH                         1.820596e-15        1.815189e-15
N                             1.282728e-16        8.377190e-18
NH                            4.335188e-18        5.542184e-19
NH2                           6.256711e-19        4.786936e-19
NH3                           1.642561e-18        1.617815e-18
NNH                           1.357533e-16        3.459801e-17
NO                            1.575248e-07        1.576730e-07
NO2                           2.588613e-09        2.886610e-09
N2O                           1.251383e-07        1.158068e-07
HNO                           8.525857e-16        5.854239e-16
CN                            3.856964e-24        1.532065e-24
HCN                           4.660218e-17        4.321936e-17
H2CN                          2.181460e-28        9.621114e-29
HCNN                          2.191018e-32        1.990778e-33
HCNO                          5.571794e-13        5.568450e-13
HOCN                          7.755122e-15        7.738253e-15
HNCO                          3.405660e-16        2.817076e-16
NCO                           1.128495e-18        6.410284e-19
N2                            7.670175e-01        7.670175e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          2.044625e-55        5.839881e-56
C3H8                          6.358203e-57        2.741593e-57
CH2CHO                        1.038216e-28        4.125586e-29
CH3CHO                        1.197534e-31        4.568238e-32
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            5.194523e-10        2.341958e-10
H                             1.314052e-10        3.798245e-11
O                             4.597816e-07        1.986057e-07
O2                            2.095702e-01        2.095706e-01
OH                            1.844433e-06        1.114769e-06
H2O                           4.560977e-04        4.564641e-04
HO2                           7.560811e-09        5.317116e-09
H2O2                          3.116869e-11        2.862224e-11
C                             2.699686e-34        1.833899e-35
CH                            6.042852e-30        4.397649e-31
CH2                           3.289841e-24        6.746491e-25
CH2(S)                        3.508626e-26        5.871260e-27
CH3                           6.240202e-24        3.234301e-24
CH4                           1.203665e-24        9.131523e-25
CO                            4.852735e-10        3.047749e-10
CO2                           1.523409e-04        1.523412e-04
HCO                           1.604097e-22        2.842576e-23
CH2O                          1.543820e-20        7.075673e-21
CH2OH                         1.700594e-29        3.874221e-30
CH3O                          1.030234e-27        3.781569e-28
CH3OH                         1.782605e-24        1.169166e-24
C2H                           9.858409e-26        2.510331e-26
C2H2                          3.327899e-19        2.472966e-19
C2H3                          1.387631e-29        3.757155e-30
C2H4                          1.087001e-29        4.782218e-30
C2H5                          9.250424e-39        1.844037e-39
C2H6                          1.054383e-40        3.648771e-41
HCCO                          7.015224e-24        2.011206e-24
CH2CO                         1.482426e-19        1.096841e-19
HCCOH                         1.249336e-15        1.245626e-15
N                             2.641719e-16        1.725245e-17
NH                            8.328753e-18        1.064763e-18
NH2                           1.126418e-18        8.618095e-19
NH3                           2.782138e-18        2.740225e-18
NNH                           1.349337e-16        3.438914e-17
NO                            1.514392e-07        1.515817e-07
NO2                           1.623153e-09        1.810008e-09
N2O                           8.201751e-08        7.590157e-08
HNO                           7.930081e-16        5.445153e-16
CN                            4.276309e-24        1.698638e-24
HCN                           4.974184e-17        4.613112e-17
H2CN                          2.244706e-28        9.900059e-29
HCNN                          1.540317e-32        1.399546e-33
HCNO                          3.735696e-13        3.733455e-13
HOCN                          5.199542e-15        5.188234e-15
HNCO                          2.283378e-16        1.888753e-16
NCO                           7.747683e-19        4.400983e-19
N2                            7.898188e-01        7.898191e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.368814e-55        3.909624e-56
C3H8                          4.159324e-57        1.793459e-57
CH2CHO                        6.957643e-29        2.764779e-29
CH3CHO                        7.841688e-32        2.991374e-32
-----------------------------------------------------------------------------
