
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00127631
T[K]                          1107.244            1107.244
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.31752             0.31752
MW[kg/kmol]                   28.84914            28.84914
Phi[-]                        1000.00000          0.00071
H[J/kg]                       8.753775e+05        8.753775e+05
U[J/kg]                       5.562644e+05        5.562644e+05
Conv.(%) H2                   0.000000e+00        4.767283e-01
Conv.(%) CH4                  0.000000e+00        5.909609e-01
Total species (kmol/s)        1.620603e-04        1.620603e-04
Element(kmol/s) C             9.629786e-09        9.629786e-09
Element(kmol/s) H             5.777871e-08        5.777871e-08
Element(kmol/s) O             6.805924e-05        6.805924e-05
Element(kmol/s) N             2.560324e-04        2.560324e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            4.973418e-12        4.949708e-12
H                             4.320592e-13        3.954262e-13
O                             4.252833e-08        4.256703e-08
O2                            2.327356e-01        2.327356e-01
OH                            2.197499e-07        2.168980e-07
H2O                           1.112000e-04        1.112012e-04
HO2                           3.146315e-09        4.185778e-09
H2O2                          7.528382e-11        4.378980e-11
C                             1.821412e-36        3.764667e-38
CH                            4.602714e-32        2.195671e-33
CH2                           6.258534e-26        1.805756e-26
CH2(S)                        5.629932e-28        8.755990e-29
CH3                           4.061608e-25        3.535333e-25
CH4                           1.553126e-25        1.543948e-25
CO                            8.320199e-11        8.310969e-11
CO2                           9.064589e-05        9.064589e-05
HCO                           5.131379e-24        1.463506e-24
CH2O                          2.156999e-21        2.080848e-21
CH2OH                         5.827796e-31        2.374013e-31
CH3O                          6.125508e-29        4.756972e-29
CH3OH                         3.555790e-25        3.611429e-25
C2H                           3.059947e-27        7.189438e-28
C2H2                          6.903020e-20        6.902314e-20
C2H3                          6.103510e-31        3.960702e-31
C2H4                          1.829797e-30        1.830647e-30
C2H5                          6.020774e-40        5.159470e-40
C2H6                          1.035894e-41        1.018589e-41
HCCO                          4.501140e-25        2.299132e-25
CH2CO                         4.067064e-20        4.110002e-20
HCCOH                         7.162266e-16        7.162241e-16
N                             6.659552e-18        8.011271e-19
NH                            1.395591e-19        2.148942e-20
NH2                           2.297472e-19        2.254217e-19
NH3                           8.231841e-19        8.192431e-19
NNH                           9.353495e-18        7.181315e-18
NO                            5.923694e-08        5.923135e-08
NO2                           1.245321e-09        1.254003e-09
N2O                           3.917689e-08        3.940324e-08
HNO                           1.379660e-16        1.602166e-16
CN                            2.151424e-25        8.086721e-26
HCN                           1.543768e-17        1.543988e-17
H2CN                          1.152992e-28        5.169308e-29
HCNN                          4.456123e-34        4.320134e-35
HCNO                          2.175906e-13        2.175904e-13
HOCN                          3.045490e-15        3.045483e-15
HNCO                          8.358683e-17        8.363356e-17
NCO                           1.714228e-19        1.494903e-19
N2                            7.670622e-01        7.670622e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          5.161680e-56        2.683674e-56
C3H8                          5.604167e-57        5.438987e-57
CH2CHO                        4.265189e-29        2.379485e-29
CH3CHO                        9.431788e-33        9.766003e-33
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            7.117005e-11        7.083076e-11
H                             1.236561e-11        1.131717e-11
O                             7.668640e-08        7.675618e-08
O2                            2.098325e-01        2.098325e-01
OH                            3.727639e-07        3.679262e-07
H2O                           1.780752e-04        1.780771e-04
HO2                           2.750060e-09        3.658610e-09
H2O2                          6.385234e-11        3.714053e-11
C                             4.374836e-36        9.042328e-38
CH                            1.019927e-31        4.865444e-33
CH2                           1.287184e-25        3.713873e-26
CH2(S)                        1.157900e-27        1.800832e-28
CH3                           7.793409e-25        6.783593e-25
CH4                           2.792892e-25        2.776387e-25
CO                            8.569460e-11        8.559954e-11
CO2                           5.942093e-05        5.942093e-05
HCO                           5.101519e-24        1.454989e-24
CH2O                          2.072456e-21        1.999290e-21
CH2OH                         5.417506e-31        2.206878e-31
CH3O                          5.694259e-29        4.422071e-29
CH3OH                         3.201469e-25        3.251565e-25
C2H                           3.526841e-27        8.286420e-28
C2H2                          7.648290e-20        7.647508e-20
C2H3                          6.510427e-31        4.224759e-31
C2H4                          1.881659e-30        1.882533e-30
C2H5                          5.976676e-40        5.121680e-40
C2H6                          9.938362e-42        9.772332e-42
HCCO                          3.164932e-25        1.616612e-25
CH2CO                         2.791144e-20        2.820611e-20
HCCOH                         4.915318e-16        4.915301e-16
N                             1.371617e-17        1.650020e-18
NH                            2.681425e-19        4.128879e-20
NH2                           4.136559e-19        4.058679e-19
NH3                           1.394407e-18        1.387732e-18
NNH                           9.297783e-18        7.138541e-18
NO                            5.695310e-08        5.694772e-08
NO2                           7.809249e-10        7.863691e-10
N2O                           2.567922e-08        2.582759e-08
HNO                           1.283356e-16        1.490330e-16
CN                            2.385530e-25        8.966675e-26
HCN                           1.647908e-17        1.648144e-17
H2CN                          1.186518e-28        5.319615e-29
HCNN                          3.132973e-34        3.037364e-35
HCNO                          1.458989e-13        1.458988e-13
HOCN                          2.042063e-15        2.042059e-15
HNCO                          5.604667e-17        5.607801e-17
NCO                           1.177000e-19        1.026410e-19
N2                            7.899294e-01        7.899294e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.455871e-56        1.796785e-56
C3H8                          3.666358e-57        3.558294e-57
CH2CHO                        2.858567e-29        1.594752e-29
CH3CHO                        6.176627e-33        6.395496e-33
-----------------------------------------------------------------------------
