
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0168191
T[K]                          1520.266            1520.266
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.23125             0.23125
MW[kg/kmol]                   28.84797            28.84797
Phi[-]                        1000.00000          0.00121
H[J/kg]                       1.368327e+06        1.368333e+06
U[J/kg]                       9.301608e+05        9.301673e+05
Conv.(%) H2                   0.000000e+00        -3.255846e+01
Conv.(%) CH4                  0.000000e+00        -3.117045e+01
Total species (kmol/s)        6.472378e-04        6.472380e-04
Element(kmol/s) C             6.578121e-08        6.578121e-08
Element(kmol/s) H             3.946873e-07        3.946873e-07
Element(kmol/s) O             2.717975e-04        2.717975e-04
Element(kmol/s) N             1.022476e-03        1.022476e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.629678e-10        2.160276e-10
H                             6.381566e-11        7.778083e-11
O                             2.113719e-06        2.361263e-06
O2                            2.326085e-01        2.326081e-01
OH                            3.947265e-06        4.213784e-06
H2O                           1.883051e-04        1.881630e-04
HO2                           2.635407e-08        2.761711e-08
H2O2                          3.281197e-11        5.050048e-11
C                             1.670328e-31        3.761315e-32
CH                            5.718328e-28        3.356655e-28
CH2                           3.107157e-23        3.382801e-23
CH2(S)                        5.433872e-25        5.059469e-25
CH3                           8.057356e-24        1.152862e-23
CH4                           6.443344e-25        8.451763e-25
CO                            1.175645e-09        1.690756e-09
CO2                           1.550454e-04        1.550446e-04
HCO                           6.966699e-21        6.022420e-21
CH2O                          5.688255e-20        8.092528e-20
CH2OH                         2.418873e-28        2.864847e-28
CH3O                          6.181275e-27        7.463051e-27
CH3OH                         1.883220e-24        3.236546e-24
C2H                           1.285684e-24        1.195784e-24
C2H2                          4.066293e-19        5.277431e-19
C2H3                          1.172846e-28        1.739523e-28
C2H4                          3.349263e-29        5.226125e-29
C2H5                          8.896738e-38        1.795802e-37
C2H6                          1.604977e-40        4.688162e-40
HCCO                          1.074566e-22        1.359530e-22
CH2CO                         1.609065e-19        3.106469e-19
HCCOH                         1.220158e-15        1.203129e-15
N                             6.951018e-14        2.611056e-14
NH                            7.592028e-16        3.859766e-16
NH2                           5.228551e-18        2.647150e-18
NH3                           3.943064e-18        2.133617e-18
NNH                           2.683848e-15        2.864847e-15
NO                            1.170862e-07        1.245282e-07
NO2                           9.344552e-10        8.196562e-10
N2O                           1.280827e-07        1.907828e-07
HNO                           2.991627e-15        2.854926e-15
CN                            2.957696e-23        3.134604e-23
HCN                           3.438977e-17        4.403920e-17
H2CN                          5.175662e-28        1.238611e-27
HCNN                          3.020617e-30        1.952618e-30
HCNO                          3.721187e-13        3.714353e-13
HOCN                          5.191128e-15        5.132957e-15
HNCO                          3.488351e-16        5.213821e-16
NCO                           6.997765e-18        5.137853e-18
N2                            7.670418e-01        7.670418e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          5.435314e-55        1.440815e-54
C3H8                          4.734220e-57        1.583283e-56
CH2CHO                        1.975546e-28        5.714507e-28
CH3CHO                        2.058080e-31        6.051813e-31
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            2.331989e-09        3.091248e-09
H                             1.826342e-09        2.226011e-09
O                             3.811271e-06        4.257617e-06
O2                            2.097095e-01        2.097090e-01
OH                            6.695514e-06        7.147593e-06
H2O                           3.015387e-04        3.013111e-04
HO2                           2.303404e-08        2.413796e-08
H2O2                          2.782851e-11        4.283049e-11
C                             4.011788e-31        9.033910e-32
CH                            1.267088e-27        7.437797e-28
CH2                           6.390189e-23        6.957077e-23
CH2(S)                        1.117532e-24        1.040532e-24
CH3                           1.545982e-23        2.212021e-23
CH4                           1.158620e-24        1.519767e-24
CO                            1.210817e-09        1.741337e-09
CO2                           1.016325e-04        1.016320e-04
HCO                           6.925879e-21        5.987131e-21
CH2O                          5.465085e-20        7.775028e-20
CH2OH                         2.248488e-28        2.663047e-28
CH3O                          5.745868e-27        6.937354e-27
CH3OH                         1.695496e-24        2.913918e-24
C2H                           1.481798e-24        1.378184e-24
C2H2                          4.505120e-19        5.846960e-19
C2H3                          1.250989e-28        1.855421e-28
C2H4                          3.444053e-29        5.374032e-29
C2H5                          8.831219e-38        1.782577e-37
C2H6                          1.539752e-40        4.497637e-40
HCCO                          7.555404e-23        9.559013e-23
CH2CO                         1.104224e-19        2.131820e-19
HCCOH                         8.373362e-16        8.256493e-16
N                             1.431590e-13        5.377572e-14
NH                            1.458639e-15        7.415678e-16
NH2                           9.413537e-18        4.765954e-18
NH3                           6.678963e-18        3.614028e-18
NNH                           2.667755e-15        2.847668e-15
NO                            1.125675e-07        1.197223e-07
NO2                           5.859611e-10        5.139749e-10
N2O                           8.395079e-08        1.250470e-07
HNO                           2.782691e-15        2.655536e-15
CN                            3.279404e-23        3.475554e-23
HCN                           3.670818e-17        4.700811e-17
H2CN                          5.325939e-28        1.274574e-27
HCNN                          2.123624e-30        1.372775e-30
HCNO                          2.495031e-13        2.490448e-13
HOCN                          3.480617e-15        3.441612e-15
HNCO                          2.338916e-16        3.495831e-16
NCO                           4.804516e-18        3.527539e-18
N2                            7.898766e-01        7.898763e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          3.638929e-55        9.646217e-55
C3H8                          3.097097e-57        1.035774e-56
CH2CHO                        1.323975e-28        3.829758e-28
CH3CHO                        1.347728e-31        3.963011e-31
-----------------------------------------------------------------------------
