
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.00129385
T[K]                          1015.786            1015.786
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.32064             0.32066
MW[kg/kmol]                   26.72635            26.72822
Phi[-]                        1000.00000          0.79859
H[J/kg]                       5.654732e+04        -6.581986e+03
U[J/kg]                       -2.594597e+05       -3.225669e+05
Conv.(%) H2                   0.000000e+00        3.512656e+00
Conv.(%) CH4                  0.000000e+00        8.956809e+00
Total species (kmol/s)        3.317059e-04        3.316827e-04
Element(kmol/s) C             1.978223e-05        1.978223e-05
Element(kmol/s) H             1.186934e-04        1.186934e-04
Element(kmol/s) O             1.238578e-04        1.238578e-04
Element(kmol/s) N             4.659412e-04        4.659412e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            3.243074e-03        3.129156e-03
H                             7.373926e-09        3.037189e-07
O                             2.370762e-07        1.178490e-06
O2                            1.736976e-01        1.679015e-01
OH                            5.845444e-06        2.093539e-06
H2O                           3.365826e-02        3.818532e-02
HO2                           5.298192e-07        8.355969e-05
H2O2                          1.945044e-07        1.936329e-05
C                             1.608278e-15        3.551329e-17
CH                            6.671919e-13        1.761523e-13
CH2                           3.833157e-10        1.629951e-09
CH2(S)                        1.394718e-11        1.544425e-10
CH3                           3.384790e-08        3.442638e-05
CH4                           2.580458e-02        2.349331e-02
CO                            1.070633e-05        2.011419e-03
CO2                           2.739405e-02        2.746674e-02
HCO                           3.906824e-10        5.737070e-08
CH2O                          1.188721e-06        7.034823e-04
CH2OH                         1.077609e-10        5.963465e-09
CH3O                          1.034325e-10        9.859210e-07
CH3OH                         3.616488e-07        2.063560e-04
C2H                           8.804161e-14        2.777486e-14
C2H2                          2.221244e-09        3.624562e-07
C2H3                          3.219227e-11        1.508300e-09
C2H4                          2.628852e-07        1.608876e-04
C2H5                          1.288083e-10        7.118750e-07
C2H6                          6.277934e-07        3.956102e-04
HCCO                          7.580685e-11        8.032226e-10
CH2CO                         2.604304e-08        1.354624e-05
HCCOH                         1.247736e-10        1.101508e-10
N                             1.224449e-13        3.936184e-14
NH                            1.258749e-12        1.023165e-11
NH2                           1.193012e-11        1.637605e-11
NH3                           1.776255e-10        1.457936e-09
NNH                           1.902292e-13        4.289654e-12
NO                            6.016023e-06        5.066892e-06
NO2                           8.156967e-08        1.480761e-06
N2O                           8.713975e-08        2.893870e-07
HNO                           2.278159e-11        4.130963e-10
CN                            1.945696e-14        2.791913e-19
HCN                           5.072547e-10        2.488707e-09
H2CN                          1.080554e-15        1.488908e-13
HCNN                          3.545616e-14        9.227740e-15
HCNO                          3.240401e-09        2.923399e-09
HOCN                          2.894987e-10        1.008527e-10
HNCO                          3.251031e-09        4.928723e-08
NCO                           2.972466e-11        4.096114e-12
N2                            7.361762e-01        7.361761e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          1.120290e-13        2.837268e-09
C3H8                          7.245706e-09        4.568644e-06
CH2CHO                        1.416338e-11        5.133262e-08
CH3CHO                        3.558847e-09        2.001195e-06
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            4.299381e-02        4.148649e-02
H                             1.955140e-07        8.053438e-06
O                             3.960362e-07        1.968807e-06
O2                            1.450811e-01        1.402497e-01
OH                            9.186064e-06        3.290208e-06
H2O                           4.993407e-02        5.665421e-02
HO2                           4.290170e-07        6.766654e-05
H2O2                          1.528310e-07        1.521568e-05
C                             3.578670e-15        7.902815e-17
CH                            1.369660e-12        3.616435e-13
CH2                           7.303507e-10        3.105845e-09
CH2(S)                        2.657426e-11        2.942877e-10
CH3                           6.016833e-08        6.120091e-05
CH4                           4.298835e-02        3.914070e-02
CO                            1.021568e-05        1.919373e-03
CO2                           1.663621e-02        1.668152e-02
HCO                           3.598289e-10        5.284364e-08
CH2O                          1.058088e-06        6.262182e-04
CH2OH                         9.280328e-11        5.136070e-09
CH3O                          8.907559e-11        8.491304e-07
CH3OH                         3.016526e-07        1.721343e-04
C2H                           9.400843e-14        2.965931e-14
C2H2                          2.279965e-09        3.720642e-07
C2H3                          3.181180e-11        1.490578e-09
C2H4                          2.504442e-07        1.532844e-04
C2H5                          1.184562e-10        6.547090e-07
C2H6                          5.579856e-07        3.516447e-04
HCCO                          4.938069e-11        5.232569e-10
CH2CO                         1.655768e-08        8.613049e-06
HCCOH                         7.932875e-11        7.003672e-11
N                             2.336336e-13        7.511043e-14
NH                            2.240544e-12        1.821337e-11
NH2                           1.989943e-11        2.731714e-11
NH3                           2.787435e-10        2.288065e-09
NNH                           1.751820e-13        3.950617e-12
NO                            5.358473e-06        4.513397e-06
NO2                           4.738745e-08        8.602998e-07
N2O                           5.291453e-08        1.757389e-07
HNO                           1.963206e-11        3.560111e-10
CN                            1.998669e-14        2.868124e-19
HCN                           5.016306e-10        2.461286e-09
H2CN                          1.030152e-15        1.419557e-13
HCNN                          2.309394e-14        6.010798e-15
HCNO                          2.012879e-09        1.816089e-09
HOCN                          1.798313e-10        6.265223e-11
HNCO                          2.019482e-09        3.061847e-08
NCO                           1.890739e-11        2.605655e-12
N2                            7.023382e-01        7.023872e-01
AR                            0.000000e+00        0.000000e+00
C3H7                          6.948700e-14        1.759965e-09
C3H8                          4.391484e-09        2.769162e-06
CH2CHO                        8.793949e-12        3.187431e-08
CH3CHO                        2.159104e-09        1.214182e-06
-----------------------------------------------------------------------------
